Name,Phys +0,Mag +0,Fire +0,Ligh +0,Holy +0,Stam +0,Phys +1,Mag +1,Fire +1,Ligh +1,Holy +1,Stam +1,Phys +2,Mag +2,Fire +2,Ligh +2,Holy +2,Stam +2,Phys +3,Mag +3,Fire +3,Ligh +3,Holy +3,Stam +3,Phys +4,Mag +4,Fire +4,Ligh +4,Holy +4,Stam +4,Phys +5,Mag +5,Fire +5,Ligh +5,Holy +5,Stam +5,Phys +6,Mag +6,Fire +6,Ligh +6,Holy +6,Stam +6,Phys +7,Mag +7,Fire +7,Ligh +7,Holy +7,Stam +7,Phys +8,Mag +8,Fire +8,Ligh +8,Holy +8,Stam +8,Phys +9,Mag +9,Fire +9,Ligh +9,Holy +9,Stam +9,Phys +10,Mag +10,Fire +10,Ligh +10,Holy +10,Stam +10,Phys +11,Mag +11,Fire +11,Ligh +11,Holy +11,Stam +11,Phys +12,Mag +12,Fire +12,Ligh +12,Holy +12,Stam +12,Phys +13,Mag +13,Fire +13,Ligh +13,Holy +13,Stam +13,Phys +14,Mag +14,Fire +14,Ligh +14,Holy +14,Stam +14,Phys +15,Mag +15,Fire +15,Ligh +15,Holy +15,Stam +15,Phys +16,Mag +16,Fire +16,Ligh +16,Holy +16,Stam +16,Phys +17,Mag +17,Fire +17,Ligh +17,Holy +17,Stam +17,Phys +18,Mag +18,Fire +18,Ligh +18,Holy +18,Stam +18,Phys +19,Mag +19,Fire +19,Ligh +19,Holy +19,Stam +19,Phys +20,Mag +20,Fire +20,Ligh +20,Holy +20,Stam +20,Phys +21,Mag +21,Fire +21,Ligh +21,Holy +21,Stam +21,Phys +22,Mag +22,Fire +22,Ligh +22,Holy +22,Stam +22,Phys +23,Mag +23,Fire +23,Ligh +23,Holy +23,Stam +23,Phys +24,Mag +24,Fire +24,Ligh +24,Holy +24,Stam +24,Phys +25,Mag +25,Fire +25,Ligh +25,Holy +25,Stam +25
Lightning Longsword,84,0,0,84,0,45,87.78,0,0,87.78,0,46.8,91.56,0,0,91.56,0,48.6,95.34,0,0,95.34,0,50.4,99.12,0,0,99.12,0,52.2,102.9,0,0,102.9,0,54,106.68,0,0,106.68,0,55.8,110.46,0,0,110.46,0,57.6,114.24,0,0,114.24,0,59.4,118.02,0,0,118.02,0,61.2,121.8,0,0,121.8,0,63,125.58,0,0,125.58,0,64.8,129.36,0,0,129.36,0,66.6,133.14,0,0,133.14,0,68.4,136.92,0,0,136.92,0,70.2,140.7,0,0,140.7,0,72,144.48,0,0,144.48,0,73.8,148.26,0,0,148.26,0,75.6,152.04,0,0,152.04,0,77.4,155.82,0,0,155.82,0,79.2,159.6,0,0,159.6,0,81,163.38,0,0,163.38,0,82.8,167.16,0,0,167.16,0,84.6,170.94,0,0,170.94,0,86.4,174.72,0,0,174.72,0,88.2,178.5,0,0,178.5,0,90
Sacred Longsword,78.75,0,0,0,78.75,45,83.79,0,0,0,83.79,46.8,88.83,0,0,0,88.83,48.6,93.87,0,0,0,93.87,50.4,98.91,0,0,0,98.91,52.2,103.95,0,0,0,103.95,54,108.99,0,0,0,108.99,55.8,114.03,0,0,0,114.03,57.6,119.07,0,0,0,119.07,59.4,124.11,0,0,0,124.11,61.2,129.15,0,0,0,129.15,63,134.19,0,0,0,134.19,64.8,139.23,0,0,0,139.23,66.6,144.27,0,0,0,144.27,68.4,149.31,0,0,0,149.31,70.2,154.35,0,0,0,154.35,72,159.39,0,0,0,159.39,73.8,164.43,0,0,0,164.43,75.6,169.47,0,0,0,169.47,77.4,174.51,0,0,0,174.51,79.2,179.55,0,0,0,179.55,81,184.59,0,0,0,184.59,82.8,189.63,0,0,0,189.63,84.6,194.67,0,0,0,194.67,86.4,199.71,0,0,0,199.71,88.2,204.75,0,0,0,204.75,90
Magic Longsword,78.75,78.75,0,0,0,45,83.79,83.79,0,0,0,46.8,88.83,88.83,0,0,0,48.6,93.87,93.87,0,0,0,50.4,98.91,98.91,0,0,0,52.2,103.95,103.95,0,0,0,54,108.99,108.99,0,0,0,55.8,114.03,114.03,0,0,0,57.6,119.07,119.07,0,0,0,59.4,124.11,124.11,0,0,0,61.2,129.15,129.15,0,0,0,63,134.19,134.19,0,0,0,64.8,139.23,139.23,0,0,0,66.6,144.27,144.27,0,0,0,68.4,149.31,149.31,0,0,0,70.2,154.35,154.35,0,0,0,72,159.39,159.39,0,0,0,73.8,164.43,164.43,0,0,0,75.6,169.47,169.47,0,0,0,77.4,174.51,174.51,0,0,0,79.2,179.55,179.55,0,0,0,81,184.59,184.59,0,0,0,82.8,189.63,189.63,0,0,0,84.6,194.67,194.67,0,0,0,86.4,199.71,199.71,0,0,0,88.2,204.75,204.75,0,0,0,90
Cold Longsword,89.25,71.4,0,0,0,45,93.24,74.592,0,0,0,46.8,97.23,77.784,0,0,0,48.6,101.22,80.976,0,0,0,50.4,105.21,84.168,0,0,0,52.2,109.2,87.36,0,0,0,54,113.19,90.552,0,0,0,55.8,117.18,93.744,0,0,0,57.6,121.17,96.936,0,0,0,59.4,125.16,100.128,0,0,0,61.2,129.15,103.32,0,0,0,63,133.14,106.512,0,0,0,64.8,137.13,109.704,0,0,0,66.6,141.12,112.896,0,0,0,68.4,145.11,116.088,0,0,0,70.2,149.1,119.28,0,0,0,72,153.09,122.472,0,0,0,73.8,157.08,125.664,0,0,0,75.6,161.07,128.856,0,0,0,77.4,165.06,132.048,0,0,0,79.2,169.05,135.24,0,0,0,81,173.04,138.432,0,0,0,82.8,177.03,141.624,0,0,0,84.6,181.02,144.816,0,0,0,86.4,185.01,148.008,0,0,0,88.2,189,151.2,0,0,0,90
Poison Longsword,89.25,0,0,0,0,45,94.71,0,0,0,0,46.8,100.17,0,0,0,0,48.6,105.63,0,0,0,0,50.4,111.09,0,0,0,0,52.2,116.55,0,0,0,0,54,122.01,0,0,0,0,55.8,127.47,0,0,0,0,57.6,132.93,0,0,0,0,59.4,138.39,0,0,0,0,61.2,143.85,0,0,0,0,63,149.31,0,0,0,0,64.8,154.77,0,0,0,0,66.6,160.23,0,0,0,0,68.4,165.69,0,0,0,0,70.2,171.15,0,0,0,0,72,176.61,0,0,0,0,73.8,182.07,0,0,0,0,75.6,187.53,0,0,0,0,77.4,192.99,0,0,0,0,79.2,198.45,0,0,0,0,81,203.91,0,0,0,0,82.8,209.37,0,0,0,0,84.6,214.83,0,0,0,0,86.4,220.29,0,0,0,0,88.2,225.75,0,0,0,0,90
Bloody Longsword,89.25,0,0,0,0,45,94.71,0,0,0,0,46.8,100.17,0,0,0,0,48.6,105.63,0,0,0,0,50.4,111.09,0,0,0,0,52.2,116.55,0,0,0,0,54,122.01,0,0,0,0,55.8,127.47,0,0,0,0,57.6,132.93,0,0,0,0,59.4,138.39,0,0,0,0,61.2,143.85,0,0,0,0,63,149.31,0,0,0,0,64.8,154.77,0,0,0,0,66.6,160.23,0,0,0,0,68.4,165.69,0,0,0,0,70.2,171.15,0,0,0,0,72,176.61,0,0,0,0,73.8,182.07,0,0,0,0,75.6,187.53,0,0,0,0,77.4,192.99,0,0,0,0,79.2,198.45,0,0,0,0,81,203.91,0,0,0,0,82.8,209.37,0,0,0,0,84.6,214.83,0,0,0,0,86.4,220.29,0,0,0,0,88.2,225.75,0,0,0,0,90
Occult Longsword,94.5,0,0,0,0,45,100.17,0,0,0,0,46.8,105.84,0,0,0,0,48.6,111.51,0,0,0,0,50.4,117.18,0,0,0,0,52.2,122.85,0,0,0,0,54,128.52,0,0,0,0,55.8,134.19,0,0,0,0,57.6,139.86,0,0,0,0,59.4,145.53,0,0,0,0,61.2,151.2,0,0,0,0,63,156.87,0,0,0,0,64.8,162.54,0,0,0,0,66.6,168.21,0,0,0,0,68.4,173.88,0,0,0,0,70.2,179.55,0,0,0,0,72,185.22,0,0,0,0,73.8,190.89,0,0,0,0,75.6,196.56,0,0,0,0,77.4,202.23,0,0,0,0,79.2,207.9,0,0,0,0,81,213.57,0,0,0,0,82.8,219.24,0,0,0,0,84.6,224.91,0,0,0,0,86.4,230.58,0,0,0,0,88.2,236.25,0,0,0,0,90
Short Sword,102,0,0,0,0,45,107.916,0,0,0,0,46.8,113.832,0,0,0,0,48.6,119.748,0,0,0,0,50.4,125.664,0,0,0,0,52.2,131.58,0,0,0,0,54,137.496,0,0,0,0,55.8,143.412,0,0,0,0,57.6,149.328,0,0,0,0,59.4,155.244,0,0,0,0,61.2,161.16,0,0,0,0,63,167.076,0,0,0,0,64.8,172.992,0,0,0,0,66.6,178.908,0,0,0,0,68.4,184.824,0,0,0,0,70.2,190.74,0,0,0,0,72,196.656,0,0,0,0,73.8,202.572,0,0,0,0,75.6,208.488,0,0,0,0,77.4,214.404,0,0,0,0,79.2,220.32,0,0,0,0,81,226.236,0,0,0,0,82.8,232.152,0,0,0,0,84.6,238.068,0,0,0,0,86.4,243.984,0,0,0,0,88.2,249.9,0,0,0,0,90
Heavy Short Sword,92.15,0,0,0,0,45,97.582,0,0,0,0,46.8,103.014,0,0,0,0,48.6,108.446,0,0,0,0,50.4,113.878,0,0,0,0,52.2,119.31,0,0,0,0,54,124.742,0,0,0,0,55.8,130.174,0,0,0,0,57.6,135.606,0,0,0,0,59.4,141.038,0,0,0,0,61.2,146.47,0,0,0,0,63,151.902,0,0,0,0,64.8,157.334,0,0,0,0,66.6,162.766,0,0,0,0,68.4,168.198,0,0,0,0,70.2,173.63,0,0,0,0,72,179.062,0,0,0,0,73.8,184.494,0,0,0,0,75.6,189.926,0,0,0,0,77.4,195.358,0,0,0,0,79.2,200.79,0,0,0,0,81,206.222,0,0,0,0,82.8,211.654,0,0,0,0,84.6,217.086,0,0,0,0,86.4,222.518,0,0,0,0,88.2,227.95,0,0,0,0,90
Keen Short Sword,92.15,0,0,0,0,42.75,97,0,0,0,0,45,101.85,0,0,0,0,47.25,106.7,0,0,0,0,49.5,111.55,0,0,0,0,51.75,116.4,0,0,0,0,54,121.25,0,0,0,0,56.25,126.1,0,0,0,0,58.5,130.95,0,0,0,0,60.75,135.8,0,0,0,0,63,140.65,0,0,0,0,65.25,145.5,0,0,0,0,67.5,150.35,0,0,0,0,69.75,155.2,0,0,0,0,72,160.05,0,0,0,0,74.25,164.9,0,0,0,0,76.5,169.75,0,0,0,0,78.75,174.6,0,0,0,0,81,179.45,0,0,0,0,83.25,184.3,0,0,0,0,85.5,189.15,0,0,0,0,87.75,194,0,0,0,0,90,198.85,0,0,0,0,92.25,203.7,0,0,0,0,94.5,208.55,0,0,0,0,96.75,213.4,0,0,0,0,99
Quality Short Sword,87.3,0,0,0,0,45,91.762,0,0,0,0,46.8,96.224,0,0,0,0,48.6,100.686,0,0,0,0,50.4,105.148,0,0,0,0,52.2,109.61,0,0,0,0,54,114.072,0,0,0,0,55.8,118.534,0,0,0,0,57.6,122.996,0,0,0,0,59.4,127.458,0,0,0,0,61.2,131.92,0,0,0,0,63,136.382,0,0,0,0,64.8,140.844,0,0,0,0,66.6,145.306,0,0,0,0,68.4,149.768,0,0,0,0,70.2,154.23,0,0,0,0,72,158.692,0,0,0,0,73.8,163.154,0,0,0,0,75.6,167.616,0,0,0,0,77.4,172.078,0,0,0,0,79.2,176.54,0,0,0,0,81,181.002,0,0,0,0,82.8,185.464,0,0,0,0,84.6,189.926,0,0,0,0,86.4,194.388,0,0,0,0,88.2,198.85,0,0,0,0,90
Fire Short Sword,77.6,0,77.6,0,0,45,81.092,0,81.092,0,0,46.8,84.584,0,84.584,0,0,48.6,88.076,0,88.076,0,0,50.4,91.568,0,91.568,0,0,52.2,95.06,0,95.06,0,0,54,98.552,0,98.552,0,0,55.8,102.044,0,102.044,0,0,57.6,105.536,0,105.536,0,0,59.4,109.028,0,109.028,0,0,61.2,112.52,0,112.52,0,0,63,116.012,0,116.012,0,0,64.8,119.504,0,119.504,0,0,66.6,122.996,0,122.996,0,0,68.4,126.488,0,126.488,0,0,70.2,129.98,0,129.98,0,0,72,133.472,0,133.472,0,0,73.8,136.964,0,136.964,0,0,75.6,140.456,0,140.456,0,0,77.4,143.948,0,143.948,0,0,79.2,147.44,0,147.44,0,0,81,150.932,0,150.932,0,0,82.8,154.424,0,154.424,0,0,84.6,157.916,0,157.916,0,0,86.4,161.408,0,161.408,0,0,88.2,164.9,0,164.9,0,0,90
Flame Art Short Sword,82.45,0,82.45,0,0,45,86.718,0,86.718,0,0,46.8,90.986,0,90.986,0,0,48.6,95.254,0,95.254,0,0,50.4,99.522,0,99.522,0,0,52.2,103.79,0,103.79,0,0,54,108.058,0,108.058,0,0,55.8,112.326,0,112.326,0,0,57.6,116.594,0,116.594,0,0,59.4,120.862,0,120.862,0,0,61.2,125.13,0,125.13,0,0,63,129.398,0,129.398,0,0,64.8,133.666,0,133.666,0,0,66.6,137.934,0,137.934,0,0,68.4,142.202,0,142.202,0,0,70.2,146.47,0,146.47,0,0,72,150.738,0,150.738,0,0,73.8,155.006,0,155.006,0,0,75.6,159.274,0,159.274,0,0,77.4,163.542,0,163.542,0,0,79.2,167.81,0,167.81,0,0,81,172.078,0,172.078,0,0,82.8,176.346,0,176.346,0,0,84.6,180.614,0,180.614,0,0,86.4,184.882,0,184.882,0,0,88.2,189.15,0,189.15,0,0,90
Lightning Short Sword,77.6,0,0,77.6,0,45,81.092,0,0,81.092,0,46.8,84.584,0,0,84.584,0,48.6,88.076,0,0,88.076,0,50.4,91.568,0,0,91.568,0,52.2,95.06,0,0,95.06,0,54,98.552,0,0,98.552,0,55.8,102.044,0,0,102.044,0,57.6,105.536,0,0,105.536,0,59.4,109.028,0,0,109.028,0,61.2,112.52,0,0,112.52,0,63,116.012,0,0,116.012,0,64.8,119.504,0,0,119.504,0,66.6,122.996,0,0,122.996,0,68.4,126.488,0,0,126.488,0,70.2,129.98,0,0,129.98,0,72,133.472,0,0,133.472,0,73.8,136.964,0,0,136.964,0,75.6,140.456,0,0,140.456,0,77.4,143.948,0,0,143.948,0,79.2,147.44,0,0,147.44,0,81,150.932,0,0,150.932,0,82.8,154.424,0,0,154.424,0,84.6,157.916,0,0,157.916,0,86.4,161.408,0,0,161.408,0,88.2,164.9,0,0,164.9,0,90
Sacred Short Sword,72.75,0,0,0,72.75,45,77.406,0,0,0,77.406,46.8,82.062,0,0,0,82.062,48.6,86.718,0,0,0,86.718,50.4,91.374,0,0,0,91.374,52.2,96.03,0,0,0,96.03,54,100.686,0,0,0,100.686,55.8,105.342,0,0,0,105.342,57.6,109.998,0,0,0,109.998,59.4,114.654,0,0,0,114.654,61.2,119.31,0,0,0,119.31,63,123.966,0,0,0,123.966,64.8,128.622,0,0,0,128.622,66.6,133.278,0,0,0,133.278,68.4,137.934,0,0,0,137.934,70.2,142.59,0,0,0,142.59,72,147.246,0,0,0,147.246,73.8,151.902,0,0,0,151.902,75.6,156.558,0,0,0,156.558,77.4,161.214,0,0,0,161.214,79.2,165.87,0,0,0,165.87,81,170.526,0,0,0,170.526,82.8,175.182,0,0,0,175.182,84.6,179.838,0,0,0,179.838,86.4,184.494,0,0,0,184.494,88.2,189.15,0,0,0,189.15,90
Magic Short Sword,72.75,72.75,0,0,0,45,77.406,77.406,0,0,0,46.8,82.062,82.062,0,0,0,48.6,86.718,86.718,0,0,0,50.4,91.374,91.374,0,0,0,52.2,96.03,96.03,0,0,0,54,100.686,100.686,0,0,0,55.8,105.342,105.342,0,0,0,57.6,109.998,109.998,0,0,0,59.4,114.654,114.654,0,0,0,61.2,119.31,119.31,0,0,0,63,123.966,123.966,0,0,0,64.8,128.622,128.622,0,0,0,66.6,133.278,133.278,0,0,0,68.4,137.934,137.934,0,0,0,70.2,142.59,142.59,0,0,0,72,147.246,147.246,0,0,0,73.8,151.902,151.902,0,0,0,75.6,156.558,156.558,0,0,0,77.4,161.214,161.214,0,0,0,79.2,165.87,165.87,0,0,0,81,170.526,170.526,0,0,0,82.8,175.182,175.182,0,0,0,84.6,179.838,179.838,0,0,0,86.4,184.494,184.494,0,0,0,88.2,189.15,189.15,0,0,0,90
Cold Short Sword,82.45,66.3,0,0,0,45,86.136,69.264,0,0,0,46.8,89.822,72.228,0,0,0,48.6,93.508,75.192,0,0,0,50.4,97.194,78.156,0,0,0,52.2,100.88,81.12,0,0,0,54,104.566,84.084,0,0,0,55.8,108.252,87.048,0,0,0,57.6,111.938,90.012,0,0,0,59.4,115.624,92.976,0,0,0,61.2,119.31,95.94,0,0,0,63,122.996,98.904,0,0,0,64.8,126.682,101.868,0,0,0,66.6,130.368,104.832,0,0,0,68.4,134.054,107.796,0,0,0,70.2,137.74,110.76,0,0,0,72,141.426,113.724,0,0,0,73.8,145.112,116.688,0,0,0,75.6,148.798,119.652,0,0,0,77.4,152.484,122.616,0,0,0,79.2,156.17,125.58,0,0,0,81,159.856,128.544,0,0,0,82.8,163.542,131.508,0,0,0,84.6,167.228,134.472,0,0,0,86.4,170.914,137.436,0,0,0,88.2,174.6,140.4,0,0,0,90
Poison Short Sword,82.45,0,0,0,0,45,87.494,0,0,0,0,46.8,92.538,0,0,0,0,48.6,97.582,0,0,0,0,50.4,102.626,0,0,0,0,52.2,107.67,0,0,0,0,54,112.714,0,0,0,0,55.8,117.758,0,0,0,0,57.6,122.802,0,0,0,0,59.4,127.846,0,0,0,0,61.2,132.89,0,0,0,0,63,137.934,0,0,0,0,64.8,142.978,0,0,0,0,66.6,148.022,0,0,0,0,68.4,153.066,0,0,0,0,70.2,158.11,0,0,0,0,72,163.154,0,0,0,0,73.8,168.198,0,0,0,0,75.6,173.242,0,0,0,0,77.4,178.286,0,0,0,0,79.2,183.33,0,0,0,0,81,188.374,0,0,0,0,82.8,193.418,0,0,0,0,84.6,198.462,0,0,0,0,86.4,203.506,0,0,0,0,88.2,208.55,0,0,0,0,90
Blood Short Sword,82.45,0,0,0,0,45,87.494,0,0,0,0,46.8,92.538,0,0,0,0,48.6,97.582,0,0,0,0,50.4,102.626,0,0,0,0,52.2,107.67,0,0,0,0,54,112.714,0,0,0,0,55.8,117.758,0,0,0,0,57.6,122.802,0,0,0,0,59.4,127.846,0,0,0,0,61.2,132.89,0,0,0,0,63,137.934,0,0,0,0,64.8,142.978,0,0,0,0,66.6,148.022,0,0,0,0,68.4,153.066,0,0,0,0,70.2,158.11,0,0,0,0,72,163.154,0,0,0,0,73.8,168.198,0,0,0,0,75.6,173.242,0,0,0,0,77.4,178.286,0,0,0,0,79.2,183.33,0,0,0,0,81,188.374,0,0,0,0,82.8,193.418,0,0,0,0,84.6,198.462,0,0,0,0,86.4,203.506,0,0,0,0,88.2,208.55,0,0,0,0,90
Occult Short Sword,87.3,0,0,0,0,45,92.538,0,0,0,0,46.8,97.776,0,0,0,0,48.6,103.014,0,0,0,0,50.4,108.252,0,0,0,0,52.2,113.49,0,0,0,0,54,118.728,0,0,0,0,55.8,123.966,0,0,0,0,57.6,129.204,0,0,0,0,59.4,134.442,0,0,0,0,61.2,139.68,0,0,0,0,63,144.918,0,0,0,0,64.8,150.156,0,0,0,0,66.6,155.394,0,0,0,0,68.4,160.632,0,0,0,0,70.2,165.87,0,0,0,0,72,171.108,0,0,0,0,73.8,176.346,0,0,0,0,75.6,181.584,0,0,0,0,77.4,186.822,0,0,0,0,79.2,192.06,0,0,0,0,81,197.298,0,0,0,0,82.8,202.536,0,0,0,0,84.6,207.774,0,0,0,0,86.4,213.012,0,0,0,0,88.2,218.25,0,0,0,0,90
Broadsword,117,0,0,0,0,47,123.786,0,0,0,0,48.88,130.572,0,0,0,0,50.76,137.358,0,0,0,0,52.64,144.144,0,0,0,0,54.52,150.93,0,0,0,0,56.4,157.716,0,0,0,0,58.28,164.502,0,0,0,0,60.16,171.288,0,0,0,0,62.04,178.074,0,0,0,0,63.92,184.86,0,0,0,0,65.8,191.646,0,0,0,0,67.68,198.432,0,0,0,0,69.56,205.218,0,0,0,0,71.44,212.004,0,0,0,0,73.32,218.79,0,0,0,0,75.2,225.576,0,0,0,0,77.08,232.362,0,0,0,0,78.96,239.148,0,0,0,0,80.84,245.934,0,0,0,0,82.72,252.72,0,0,0,0,84.6,259.506,0,0,0,0,86.48,266.292,0,0,0,0,88.36,273.078,0,0,0,0,90.24,279.864,0,0,0,0,92.12,286.65,0,0,0,0,94
Heavy Broadsword,106.4,0,0,0,0,44.65,112,0,0,0,0,47,117.6,0,0,0,0,49.35,123.2,0,0,0,0,51.7,128.8,0,0,0,0,54.05,134.4,0,0,0,0,56.4,140,0,0,0,0,58.75,145.6,0,0,0,0,61.1,151.2,0,0,0,0,63.45,156.8,0,0,0,0,65.8,162.4,0,0,0,0,68.15,168,0,0,0,0,70.5,173.6,0,0,0,0,72.85,179.2,0,0,0,0,75.2,184.8,0,0,0,0,77.55,190.4,0,0,0,0,79.9,196,0,0,0,0,82.25,201.6,0,0,0,0,84.6,207.2,0,0,0,0,86.95,212.8,0,0,0,0,89.3,218.4,0,0,0,0,91.65,224,0,0,0,0,94,229.6,0,0,0,0,96.35,235.2,0,0,0,0,98.7,240.8,0,0,0,0,101.05,246.4,0,0,0,0,103.4
Keen Broadsword,106.4,0,0,0,0,47,112.672,0,0,0,0,48.88,118.944,0,0,0,0,50.76,125.216,0,0,0,0,52.64,131.488,0,0,0,0,54.52,137.76,0,0,0,0,56.4,144.032,0,0,0,0,58.28,150.304,0,0,0,0,60.16,156.576,0,0,0,0,62.04,162.848,0,0,0,0,63.92,169.12,0,0,0,0,65.8,175.392,0,0,0,0,67.68,181.664,0,0,0,0,69.56,187.936,0,0,0,0,71.44,194.208,0,0,0,0,73.32,200.48,0,0,0,0,75.2,206.752,0,0,0,0,77.08,213.024,0,0,0,0,78.96,219.296,0,0,0,0,80.84,225.568,0,0,0,0,82.72,231.84,0,0,0,0,84.6,238.112,0,0,0,0,86.48,244.384,0,0,0,0,88.36,250.656,0,0,0,0,90.24,256.928,0,0,0,0,92.12,263.2,0,0,0,0,94
Quality Broadsword,100.8,0,0,0,0,47,105.952,0,0,0,0,48.88,111.104,0,0,0,0,50.76,116.256,0,0,0,0,52.64,121.408,0,0,0,0,54.52,126.56,0,0,0,0,56.4,131.712,0,0,0,0,58.28,136.864,0,0,0,0,60.16,142.016,0,0,0,0,62.04,147.168,0,0,0,0,63.92,152.32,0,0,0,0,65.8,157.472,0,0,0,0,67.68,162.624,0,0,0,0,69.56,167.776,0,0,0,0,71.44,172.928,0,0,0,0,73.32,178.08,0,0,0,0,75.2,183.232,0,0,0,0,77.08,188.384,0,0,0,0,78.96,193.536,0,0,0,0,80.84,198.688,0,0,0,0,82.72,203.84,0,0,0,0,84.6,208.992,0,0,0,0,86.48,214.144,0,0,0,0,88.36,219.296,0,0,0,0,90.24,224.448,0,0,0,0,92.12,229.6,0,0,0,0,94
Fire Broadsword,89.6,0,89.6,0,0,47,93.632,0,93.632,0,0,48.88,97.664,0,97.664,0,0,50.76,101.696,0,101.696,0,0,52.64,105.728,0,105.728,0,0,54.52,109.76,0,109.76,0,0,56.4,113.792,0,113.792,0,0,58.28,117.824,0,117.824,0,0,60.16,121.856,0,121.856,0,0,62.04,125.888,0,125.888,0,0,63.92,129.92,0,129.92,0,0,65.8,133.952,0,133.952,0,0,67.68,137.984,0,137.984,0,0,69.56,142.016,0,142.016,0,0,71.44,146.048,0,146.048,0,0,73.32,150.08,0,150.08,0,0,75.2,154.112,0,154.112,0,0,77.08,158.144,0,158.144,0,0,78.96,162.176,0,162.176,0,0,80.84,166.208,0,166.208,0,0,82.72,170.24,0,170.24,0,0,84.6,174.272,0,174.272,0,0,86.48,178.304,0,178.304,0,0,88.36,182.336,0,182.336,0,0,90.24,186.368,0,186.368,0,0,92.12,190.4,0,190.4,0,0,94
Flame Art Broadsword,95.2,0,95.2,0,0,47,100.128,0,100.128,0,0,48.88,105.056,0,105.056,0,0,50.76,109.984,0,109.984,0,0,52.64,114.912,0,114.912,0,0,54.52,119.84,0,119.84,0,0,56.4,124.768,0,124.768,0,0,58.28,129.696,0,129.696,0,0,60.16,134.624,0,134.624,0,0,62.04,139.552,0,139.552,0,0,63.92,144.48,0,144.48,0,0,65.8,149.408,0,149.408,0,0,67.68,154.336,0,154.336,0,0,69.56,159.264,0,159.264,0,0,71.44,164.192,0,164.192,0,0,73.32,169.12,0,169.12,0,0,75.2,174.048,0,174.048,0,0,77.08,178.976,0,178.976,0,0,78.96,183.904,0,183.904,0,0,80.84,188.832,0,188.832,0,0,82.72,193.76,0,193.76,0,0,84.6,198.688,0,198.688,0,0,86.48,203.616,0,203.616,0,0,88.36,208.544,0,208.544,0,0,90.24,213.472,0,213.472,0,0,92.12,218.4,0,218.4,0,0,94
Lightning Broadsword,89.6,0,0,89.6,0,47,93.632,0,0,93.632,0,48.88,97.664,0,0,97.664,0,50.76,101.696,0,0,101.696,0,52.64,105.728,0,0,105.728,0,54.52,109.76,0,0,109.76,0,56.4,113.792,0,0,113.792,0,58.28,117.824,0,0,117.824,0,60.16,121.856,0,0,121.856,0,62.04,125.888,0,0,125.888,0,63.92,129.92,0,0,129.92,0,65.8,133.952,0,0,133.952,0,67.68,137.984,0,0,137.984,0,69.56,142.016,0,0,142.016,0,71.44,146.048,0,0,146.048,0,73.32,150.08,0,0,150.08,0,75.2,154.112,0,0,154.112,0,77.08,158.144,0,0,158.144,0,78.96,162.176,0,0,162.176,0,80.84,166.208,0,0,166.208,0,82.72,170.24,0,0,170.24,0,84.6,174.272,0,0,174.272,0,86.48,178.304,0,0,178.304,0,88.36,182.336,0,0,182.336,0,90.24,186.368,0,0,186.368,0,92.12,190.4,0,0,190.4,0,94
Sacred Broadsword,84,0,0,0,84,47,89.376,0,0,0,89.376,48.88,94.752,0,0,0,94.752,50.76,100.128,0,0,0,100.128,52.64,105.504,0,0,0,105.504,54.52,110.88,0,0,0,110.88,56.4,116.256,0,0,0,116.256,58.28,121.632,0,0,0,121.632,60.16,127.008,0,0,0,127.008,62.04,132.384,0,0,0,132.384,63.92,137.76,0,0,0,137.76,65.8,143.136,0,0,0,143.136,67.68,148.512,0,0,0,148.512,69.56,153.888,0,0,0,153.888,71.44,159.264,0,0,0,159.264,73.32,164.64,0,0,0,164.64,75.2,170.016,0,0,0,170.016,77.08,175.392,0,0,0,175.392,78.96,180.768,0,0,0,180.768,80.84,186.144,0,0,0,186.144,82.72,191.52,0,0,0,191.52,84.6,196.896,0,0,0,196.896,86.48,202.272,0,0,0,202.272,88.36,207.648,0,0,0,207.648,90.24,213.024,0,0,0,213.024,92.12,218.4,0,0,0,218.4,94
Magic Broadsword,84,84,0,0,0,47,89.376,89.376,0,0,0,48.88,94.752,94.752,0,0,0,50.76,100.128,100.128,0,0,0,52.64,105.504,105.504,0,0,0,54.52,110.88,110.88,0,0,0,56.4,116.256,116.256,0,0,0,58.28,121.632,121.632,0,0,0,60.16,127.008,127.008,0,0,0,62.04,132.384,132.384,0,0,0,63.92,137.76,137.76,0,0,0,65.8,143.136,143.136,0,0,0,67.68,148.512,148.512,0,0,0,69.56,153.888,153.888,0,0,0,71.44,159.264,159.264,0,0,0,73.32,164.64,164.64,0,0,0,75.2,170.016,170.016,0,0,0,77.08,175.392,175.392,0,0,0,78.96,180.768,180.768,0,0,0,80.84,186.144,186.144,0,0,0,82.72,191.52,191.52,0,0,0,84.6,196.896,196.896,0,0,0,86.48,202.272,202.272,0,0,0,88.36,207.648,207.648,0,0,0,90.24,213.024,213.024,0,0,0,92.12,218.4,218.4,0,0,0,94
