Name,Weapon Name,Affinity (Dropdown),Affinity,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage Type,Weight,Weapon Type,2H Dual-Wield,Reinforce Type ID
Heavy Scimitar,Scimitar,Heavy,Heavy,25,7,13,0,0,0,Slash,3,Curved Sword,No,100
Keen Scimitar,Scimitar,Keen,Keen,25,7,13,0,0,0,Slash,3,Curved Sword,No,5000
Quality Scimitar,Scimitar,Quality,Quality,25,7,13,0,0,0,Slash,3,Curved Sword,No,300
Fire Scimitar,Scimitar,Fire,Fire,25,7,13,0,0,0,Slash,3,Curved Sword,No,400
Flame Art Scimitar,Scimitar,Flame Art,Flame Art,25,7,13,0,0,0,Slash,3,Curved Sword,No,500
Lightning Scimitar,Scimitar,Lightning,Lightning,25,7,13,0,0,0,Slash,3,Curved Sword,No,600
Sacred Scimitar,Scimitar,Sacred,Sacred,25,7,13,0,0,0,Slash,3,Curved Sword,No,700
Magic Scimitar,Scimitar,Magic,Magic,25,7,13,0,0,0,Slash,3,Curved Sword,No,800
Cold Scimitar,Scimitar,Cold,Cold,25,7,13,0,0,0,Slash,3,Curved Sword,No,900
Poison Scimitar,Scimitar,Poison,Poison,25,7,13,0,0,0,Slash,3,Curved Sword,No,1000
Bloody Scimitar,Scimitar,Blood,Blood,25,7,13,0,0,0,Slash,3,Curved Sword,No,1100
Occult Scimitar,Scimitar,Occult,Occult,25,7,13,0,0,0,Slash,3,Curved Sword,No,1200
Grossmesser,Grossmesser,None,None,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,0
Heavy Grossmesser,Grossmesser,Heavy,Heavy,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,100
Keen Grossmesser,Grossmesser,Keen,Keen,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,200
Quality Grossmesser,Grossmesser,Quality,Quality,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,300
Fire Grossmesser,Grossmesser,Fire,Fire,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,400
Flame Art Grossmesser,Grossmesser,Flame Art,Flame Art,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,500
Lightning Grossmesser,Grossmesser,Lightning,Lightning,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,600
Sacred Grossmesser,Grossmesser,Sacred,Sacred,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,700
Magic Grossmesser,Grossmesser,Magic,Magic,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,800
Cold Grossmesser,Grossmesser,Cold,Cold,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,900
Poison Grossmesser,Grossmesser,Poison,Poison,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,1000
Blood Grossmesser,Grossmesser,Blood,Blood,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,1100
Occult Grossmesser,Grossmesser,Occult,Occult,25,14,12,0,0,0,Slash,4.5,Curved Sword,No,1200
Onyx Lord's Greatsword,Onyx Lord's Greatsword,None,-,10,20,16,16,0,0,Slash,11.5,Curved Greatsword,No,2200
Dismounter,Dismounter,None,None,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,0
Heavy Dismounter,Dismounter,Heavy,Heavy,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,100
Keen Dismounter,Dismounter,Keen,Keen,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,200
Quality Dismounter,Dismounter,Quality,Quality,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,300
Fire Dismounter,Dismounter,Fire,Fire,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,400
Flame Art Dismounter,Dismounter,Flame Art,Flame Art,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,500
Lightning Dismounter,Dismounter,Lightning,Lightning,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,600
Sacred Dismounter,Dismounter,Sacred,Sacred,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,700
Magic Dismounter,Dismounter,Magic,Magic,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,800
Cold Dismounter,Dismounter,Cold,Cold,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,900
Poison Dismounter,Dismounter,Poison,Poison,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,1000
Blood Dismounter,Dismounter,Blood,Blood,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,1100
Occult Dismounter,Dismounter,Occult,Occult,25,19,16,0,0,0,Slash,10,Curved Greatsword,No,1200
Bloodhound's Fang,Bloodhound's Fang,None,-,10,18,17,0,0,0,Slash,11.5,Curved Greatsword,No,2200
Magma Wyrm's Scalesword,Magma Wyrm's Scalesword,None,-,10,24,15,0,18,0,Slash,15,Curved Greatsword,No,2200
Zamor Curved Sword,Zamor Curved Sword,None,-,10,16,18,0,0,0,Slash,9,Curved Greatsword,No,2200
Omen Cleaver,Omen Cleaver,None,None,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,0
Heavy Omen Cleaver,Omen Cleaver,Heavy,Heavy,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,100
Keen Omen Cleaver,Omen Cleaver,Keen,Keen,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,200
Quality Omen Cleaver,Omen Cleaver,Quality,Quality,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,300
Fire Omen Cleaver,Omen Cleaver,Fire,Fire,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,400
Flame Art Omen Cleaver,Omen Cleaver,Flame Art,Flame Art,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,500
Lightning Omen Cleaver,Omen Cleaver,Lightning,Lightning,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,600
Sacred Omen Cleaver,Omen Cleaver,Sacred,Sacred,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,700
Magic Omen Cleaver,Omen Cleaver,Magic,Magic,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,800
Cold Omen Cleaver,Omen Cleaver,Cold,Cold,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,900
Poison Omen Cleaver,Omen Cleaver,Poison,Poison,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,1000
Blood Omen Cleaver,Omen Cleaver,Blood,Blood,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,1100
Occult Omen Cleaver,Omen Cleaver,Occult,Occult,25,19,16,0,0,0,Slash,11.5,Curved Greatsword,No,1200
Monk's Flameblade,Monk's Flameblade,None,None,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,0
Monk's Heavy Flameblade,Monk's Flameblade,Heavy,Heavy,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,100
Monk's Keen Flameblade,Monk's Flameblade,Keen,Keen,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,200
Monk's Quality Flameblade,Monk's Flameblade,Quality,Quality,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,300
Monk's Fire Flameblade,Monk's Flameblade,Fire,Fire,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,400
Monk's Flame Art Flameblade,Monk's Flameblade,Flame Art,Flame Art,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,500
Monk's Lightning Flameblade,Monk's Flameblade,Lightning,Lightning,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,600
Monk's Sacred Flameblade,Monk's Flameblade,Sacred,Sacred,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,700
Monk's Magic Flameblade,Monk's Flameblade,Magic,Magic,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,800
Monk's Cold Flameblade,Monk's Flameblade,Cold,Cold,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,900
Monk's Poison Flameblade,Monk's Flameblade,Poison,Poison,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,1000
Monk's Blood Flameblade,Monk's Flameblade,Blood,Blood,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,1100
Monk's Occult Flameblade,Monk's Flameblade,Occult,Occult,25,18,18,0,0,0,Slash,9,Curved Greatsword,No,1200
Beastman's Cleaver,Beastman's Cleaver,None,None,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,0
Beastman's Heavy Cleaver,Beastman's Cleaver,Heavy,Heavy,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,6000
Beastman's Keen Cleaver,Beastman's Cleaver,Keen,Keen,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,200
Beastman's Quality Cleaver,Beastman's Cleaver,Quality,Quality,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,300
Beastman's Fire Cleaver,Beastman's Cleaver,Fire,Fire,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,400
Beastman's Flame Art Cleaver,Beastman's Cleaver,Flame Art,Flame Art,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,500
Beastman's Lightning Cleaver,Beastman's Cleaver,Lightning,Lightning,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,600
Beastman's Sacred Cleaver,Beastman's Cleaver,Sacred,Sacred,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,700
Beastman's Magic Cleaver,Beastman's Cleaver,Magic,Magic,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,800
Beastman's Cold Cleaver,Beastman's Cleaver,Cold,Cold,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,900
Beastman's Poison Cleaver,Beastman's Cleaver,Poison,Poison,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,1000
Beastman's Blood Cleaver,Beastman's Cleaver,Blood,Blood,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,1100
Beastman's Occult Cleaver,Beastman's Cleaver,Occult,Occult,25,25,14,0,0,0,Slash,16.5,Curved Greatsword,No,1200
Morgott's Cursed Sword,Morgott's Cursed Sword,None,-,10,14,35,0,0,17,Slash,7.5,Curved Greatsword,No,2200
Uchigatana,Uchigatana,None,None,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,0
Heavy Uchigatana,Uchigatana,Heavy,Heavy,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,100
Keen Uchigatana,Uchigatana,Keen,Keen,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,200
Quality Uchigatana,Uchigatana,Quality,Quality,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,300
Fire Uchigatana,Uchigatana,Fire,Fire,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,400
Flame Art Uchigatana,Uchigatana,Flame Art,Flame Art,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,500
Lightning Uchigatana,Uchigatana,Lightning,Lightning,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,600
Sacred Uchigatana,Uchigatana,Sacred,Sacred,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,700
Magic Uchigatana,Uchigatana,Magic,Magic,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,800
Cold Uchigatana,Uchigatana,Cold,Cold,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,900
Poison Uchigatana,Uchigatana,Poison,Poison,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,1000
Blood Uchigatana,Uchigatana,Blood,Blood,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,1100
Occult Uchigatana,Uchigatana,Occult,Occult,25,11,15,0,0,0,Slash/Pierce,5.5,Katana,No,1200
Nagakiba,Nagakiba,None,None,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,0
Heavy Nagakiba,Nagakiba,Heavy,Heavy,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,100
Keen Nagakiba,Nagakiba,Keen,Keen,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,5000
Quality Nagakiba,Nagakiba,Quality,Quality,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,300
Fire Nagakiba,Nagakiba,Fire,Fire,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,400
Flame Art Nagakiba,Nagakiba,Flame Art,Flame Art,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,500
Lightning Nagakiba,Nagakiba,Lightning,Lightning,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,600
Sacred Nagakiba,Nagakiba,Sacred,Sacred,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,700
Magic Nagakiba,Nagakiba,Magic,Magic,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,800
Cold Nagakiba,Nagakiba,Cold,Cold,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,900
Poison Nagakiba,Nagakiba,Poison,Poison,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,1000
Blood Nagakiba,Nagakiba,Blood,Blood,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,1100
Occult Nagakiba,Nagakiba,Occult,Occult,25,18,22,0,0,0,Slash/Pierce,7,Katana,No,1200
Hand of Malenia,Hand of Malenia,None,-,10,16,48,0,0,0,Slash/Pierce,7,Katana,No,2200
Meteoric Ore Blade,Meteoric Ore Blade,None,-,10,15,14,18,0,0,Slash/Pierce,7.5,Katana,No,2200
Rivers of Blood,Rivers of Blood,None,-,10,12,18,0,0,20,Slash/Pierce,6.5,Katana,No,2200
Moonveil,Moonveil,None,-,10,12,18,23,0,0,Slash/Pierce,6.5,Katana,No,2200
Dragonscale Blade,Dragonscale Blade,None,-,10,12,20,0,0,0,Slash/Pierce,5.5,Katana,No,2200
Serpentbone Blade,Serpentbone Blade,None,-,25,11,22,0,0,0,Slash/Pierce,6,Katana,No,0
Twinblade,Twinblade,None,None,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,0
Heavy Twinblade,Twinblade,Heavy,Heavy,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,100
Keen Twinblade,Twinblade,Keen,Keen,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,200
Quality Twinblade,Twinblade,Quality,Quality,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,300
Fire Twinblade,Twinblade,Fire,Fire,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,400
Flame Art Twinblade,Twinblade,Flame Art,Flame Art,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,500
Lightning Twinblade,Twinblade,Lightning,Lightning,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,600
Sacred Twinblade,Twinblade,Sacred,Sacred,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,700
Magic Twinblade,Twinblade,Magic,Magic,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,800
Cold Twinblade,Twinblade,Cold,Cold,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,900
Poison Twinblade,Twinblade,Poison,Poison,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,1000
Bloody Twinblade,Twinblade,Blood,Blood,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,1100
Occult Twinblade,Twinblade,Occult,Occult,25,10,18,0,0,0,Standard/Pierce,7,Twinblade,No,1200
Godskin Peeler,Godskin Peeler,None,None,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,0
Heavy Godskin Peeler,Godskin Peeler,Heavy,Heavy,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,100
Keen Godskin Peeler,Godskin Peeler,Keen,Keen,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,5000
Quality Godskin Peeler,Godskin Peeler,Quality,Quality,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,300
Fire Godskin Peeler,Godskin Peeler,Fire,Fire,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,400
Flame Art Godskin Peeler,Godskin Peeler,Flame Art,Flame Art,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,500
Lightning Godskin Peeler,Godskin Peeler,Lightning,Lightning,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,600
Sacred Godskin Peeler,Godskin Peeler,Sacred,Sacred,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,700
Magic Godskin Peeler,Godskin Peeler,Magic,Magic,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,800
Cold Godskin Peeler,Godskin Peeler,Cold,Cold,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,900
Poison Godskin Peeler,Godskin Peeler,Poison,Poison,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,1000
Blood Godskin Peeler,Godskin Peeler,Blood,Blood,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,1100
Occult Godskin Peeler,Godskin Peeler,Occult,Occult,25,17,22,0,0,0,Standard/Pierce,8,Twinblade,No,1200
Twinned Knight Swords,Twinned Knight Swords,None,None,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,0
Heavy Twinned Knight Swords,Twinned Knight Swords,Heavy,Heavy,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,100
Keen Twinned Knight Swords,Twinned Knight Swords,Keen,Keen,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,200
Quality Twinned Knight Swords,Twinned Knight Swords,Quality,Quality,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,300
Fire Twinned Knight Swords,Twinned Knight Swords,Fire,Fire,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,400
Flame Art Twinned Knight Swords,Twinned Knight Swords,Flame Art,Flame Art,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,500
Lightning Twinned Knight Swords,Twinned Knight Swords,Lightning,Lightning,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,600
Sacred Twinned Knight Swords,Twinned Knight Swords,Sacred,Sacred,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,700
Magic Twinned Knight Swords,Twinned Knight Swords,Magic,Magic,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,800
Cold Twinned Knight Swords,Twinned Knight Swords,Cold,Cold,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,900
Poison Twinned Knight Swords,Twinned Knight Swords,Poison,Poison,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,1000
Blood Twinned Knight Swords,Twinned Knight Swords,Blood,Blood,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,1100
Occult Twinned Knight Swords,Twinned Knight Swords,Occult,Occult,25,16,18,0,0,0,Standard/Pierce,8,Twinblade,No,1200
Eleonora's Poleblade,Eleonora's Poleblade,None,-,10,12,21,0,0,19,Standard/Pierce,6,Twinblade,No,2200
Gargoyle's Twinblade,Gargoyle's Twinblade,None,None,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,0
Gargoyle's Heavy Twinblade,Gargoyle's Twinblade,Heavy,Heavy,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,6000
Gargoyle's Keen Twinblade,Gargoyle's Twinblade,Keen,Keen,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,200
Gargoyle's Quality Twinblade,Gargoyle's Twinblade,Quality,Quality,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,300
Gargoyle's Fire Twinblade,Gargoyle's Twinblade,Fire,Fire,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,400
Gargoyle's Flame Art Twinblade,Gargoyle's Twinblade,Flame Art,Flame Art,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,500
Gargoyle's Lightning Twinblade,Gargoyle's Twinblade,Lightning,Lightning,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,600
Gargoyle's Sacred Twinblade,Gargoyle's Twinblade,Sacred,Sacred,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,700
Gargoyle's Magic Twinblade,Gargoyle's Twinblade,Magic,Magic,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,800
Gargoyle's Cold Twinblade,Gargoyle's Twinblade,Cold,Cold,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,900
Gargoyle's Poison Twinblade,Gargoyle's Twinblade,Poison,Poison,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,1000
Gargoyle's Blood Twinblade,Gargoyle's Twinblade,Blood,Blood,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,1100
Gargoyle's Occult Twinblade,Gargoyle's Twinblade,Occult,Occult,25,18,15,0,0,0,Standard/Pierce,8.5,Twinblade,No,1200
Gargoyle's Black Blades,Gargoyle's Black Blades,None,-,10,18,15,0,22,0,Standard/Pierce,8.5,Twinblade,No,2200
Mace,Mace,None,None,25,12,7,0,0,0,Strike,4.5,Hammer,No,0
Heavy Mace,Mace,Heavy,Heavy,25,12,7,0,0,0,Strike,4.5,Hammer,No,100
Keen Mace,Mace,Keen,Keen,25,12,7,0,0,0,Strike,4.5,Hammer,No,200
Quality Mace,Mace,Quality,Quality,25,12,7,0,0,0,Strike,4.5,Hammer,No,300
Fire Mace,Mace,Fire,Fire,25,12,7,0,0,0,Strike,4.5,Hammer,No,400
Flame Art Mace,Mace,Flame Art,Flame Art,25,12,7,0,0,0,Strike,4.5,Hammer,No,500
Lightning Mace,Mace,Lightning,Lightning,25,12,7,0,0,0,Strike,4.5,Hammer,No,600
Sacred Mace,Mace,Sacred,Sacred,25,12,7,0,0,0,Strike,4.5,Hammer,No,700
Magic Mace,Mace,Magic,Magic,25,12,7,0,0,0,Strike,4.5,Hammer,No,800
Cold Mace,Mace,Cold,Cold,25,12,7,0,0,0,Strike,4.5,Hammer,No,900
Poison Mace,Mace,Poison,Poison,25,12,7,0,0,0,Strike,4.5,Hammer,No,1000
Blood Mace,Mace,Blood,Blood,25,12,7,0,0,0,Strike,4.5,Hammer,No,1100
Occult Mace,Mace,Occult,Occult,25,12,7,0,0,0,Strike,4.5,Hammer,No,1200
Club,Club,None,None,25,10,0,0,0,0,Strike,3.5,Hammer,No,0
Heavy Club,Club,Heavy,Heavy,25,10,0,0,0,0,Strike,3.5,Hammer,No,100
Keen Club,Club,Keen,Keen,25,10,0,0,0,0,Strike,3.5,Hammer,No,200
Quality Club,Club,Quality,Quality,25,10,0,0,0,0,Strike,3.5,Hammer,No,300
Fire Club,Club,Fire,Fire,25,10,0,0,0,0,Strike,3.5,Hammer,No,400
Flame Art Club,Club,Flame Art,Flame Art,25,10,0,0,0,0,Strike,3.5,Hammer,No,500
Lightning Club,Club,Lightning,Lightning,25,10,0,0,0,0,Strike,3.5,Hammer,No,600
Sacred Club,Club,Sacred,Sacred,25,10,0,0,0,0,Strike,3.5,Hammer,No,700
Magic Club,Club,Magic,Magic,25,10,0,0,0,0,Strike,3.5,Hammer,No,800
Cold Club,Club,Cold,Cold,25,10,0,0,0,0,Strike,3.5,Hammer,No,900
Poison Club,Club,Poison,Poison,25,10,0,0,0,0,Strike,3.5,Hammer,No,1000
Bloody Club,Club,Blood,Blood,25,10,0,0,0,0,Strike,3.5,Hammer,No,1100
Occult Club,Club,Occult,Occult,25,10,0,0,0,0,Strike,3.5,Hammer,No,1200
Curved Club,Curved Club,None,None,25,11,7,0,0,0,Strike,5,Hammer,No,0
Heavy Curved Club,Curved Club,Heavy,Heavy,25,11,7,0,0,0,Strike,5,Hammer,No,6000
Keen Curved Club,Curved Club,Keen,Keen,25,11,7,0,0,0,Strike,5,Hammer,No,200
Quality Curved Club,Curved Club,Quality,Quality,25,11,7,0,0,0,Strike,5,Hammer,No,300
Fire Curved Club,Curved Club,Fire,Fire,25,11,7,0,0,0,Strike,5,Hammer,No,400
Flame Art Curved Club,Curved Club,Flame Art,Flame Art,25,11,7,0,0,0,Strike,5,Hammer,No,500
Lightning Curved Club,Curved Club,Lightning,Lightning,25,11,7,0,0,0,Strike,5,Hammer,No,600
Sacred Curved Club,Curved Club,Sacred,Sacred,25,11,7,0,0,0,Strike,5,Hammer,No,700
Magic Curved Club,Curved Club,Magic,Magic,25,11,7,0,0,0,Strike,5,Hammer,No,800
Cold Curved Club,Curved Club,Cold,Cold,25,11,7,0,0,0,Strike,5,Hammer,No,900
Poison Curved Club,Curved Club,Poison,Poison,25,11,7,0,0,0,Strike,5,Hammer,No,1000
Blood Curved Club,Curved Club,Blood,Blood,25,11,7,0,0,0,Strike,5,Hammer,No,1100
Occult Curved Club,Curved Club,Occult,Occult,25,11,7,0,0,0,Strike,5,Hammer,No,1200
Warpick,Warpick,None,None,25,11,9,0,0,0,Pierce,2.5,Hammer,No,0
Heavy Warpick,Warpick,Heavy,Heavy,25,11,9,0,0,0,Pierce,2.5,Hammer,No,100
Keen Warpick,Warpick,Keen,Keen,25,11,9,0,0,0,Pierce,2.5,Hammer,No,200
Quality Warpick,Warpick,Quality,Quality,25,11,9,0,0,0,Pierce,2.5,Hammer,No,300
Fire Warpick,Warpick,Fire,Fire,25,11,9,0,0,0,Pierce,2.5,Hammer,No,400
Flame Art Warpick,Warpick,Flame Art,Flame Art,25,11,9,0,0,0,Pierce,2.5,Hammer,No,500
Lightning Warpick,Warpick,Lightning,Lightning,25,11,9,0,0,0,Pierce,2.5,Hammer,No,600
Sacred Warpick,Warpick,Sacred,Sacred,25,11,9,0,0,0,Pierce,2.5,Hammer,No,700
Magic Warpick,Warpick,Magic,Magic,25,11,9,0,0,0,Pierce,2.5,Hammer,No,800
Cold Warpick,Warpick,Cold,Cold,25,11,9,0,0,0,Pierce,2.5,Hammer,No,900
Poison Warpick,Warpick,Poison,Poison,25,11,9,0,0,0,Pierce,2.5,Hammer,No,1000
Blood Warpick,Warpick,Blood,Blood,25,11,9,0,0,0,Pierce,2.5,Hammer,No,1100
Occult Warpick,Warpick,Occult,Occult,25,11,9,0,0,0,Pierce,2.5,Hammer,No,1200
Morning Star,Morning Star,None,None,25,12,8,0,0,0,Strike,5,Hammer,No,0
Heavy Morning Star,Morning Star,Heavy,Heavy,25,12,8,0,0,0,Strike,5,Hammer,No,100
Keen Morning Star,Morning Star,Keen,Keen,25,12,8,0,0,0,Strike,5,Hammer,No,200
Quality Morning Star,Morning Star,Quality,Quality,25,12,8,0,0,0,Strike,5,Hammer,No,300
Fire Morning Star,Morning Star,Fire,Fire,25,12,8,0,0,0,Strike,5,Hammer,No,400
Flame Art Morning Star,Morning Star,Flame Art,Flame Art,25,12,8,0,0,0,Strike,5,Hammer,No,500
Lightning Morning Star,Morning Star,Lightning,Lightning,25,12,8,0,0,0,Strike,5,Hammer,No,600
Sacred Morning Star,Morning Star,Sacred,Sacred,25,12,8,0,0,0,Strike,5,Hammer,No,700
Magic Morning Star,Morning Star,Magic,Magic,25,12,8,0,0,0,Strike,5,Hammer,No,800
Cold Morning Star,Morning Star,Cold,Cold,25,12,8,0,0,0,Strike,5,Hammer,No,900
Poison Morning Star,Morning Star,Poison,Poison,25,12,8,0,0,0,Strike,5,Hammer,No,1000
Blood Morning Star,Morning Star,Blood,Blood,25,12,8,0,0,0,Strike,5,Hammer,No,1100
Occult Morning Star,Morning Star,Occult,Occult,25,12,8,0,0,0,Strike,5,Hammer,No,1200
Varre's Bouquet,Varre's Bouquet,None,-,10,8,16,0,0,24,Strike,2,Hammer,No,2200
Spiked Club,Spiked Club,None,None,25,12,7,0,0,0,Strike,5,Hammer,No,0
Heavy Spiked Club,Spiked Club,Heavy,Heavy,25,12,7,0,0,0,Strike,5,Hammer,No,100
Keen Spiked Club,Spiked Club,Keen,Keen,25,12,7,0,0,0,Strike,5,Hammer,No,200
Quality Spiked Club,Spiked Club,Quality,Quality,25,12,7,0,0,0,Strike,5,Hammer,No,300
Fire Spiked Club,Spiked Club,Fire,Fire,25,12,7,0,0,0,Strike,5,Hammer,No,400
Flame Art Spiked Club,Spiked Club,Flame Art,Flame Art,25,12,7,0,0,0,Strike,5,Hammer,No,500
