Name,Physical,Magic,Fire,Lightning,Holy,AttackElementCorrect ID
Keen Shamshir,2,0,0,0,0,10000
Quality Shamshir,8,0,0,0,0,10000
Fire Shamshir,0,0,4,0,0,10005
Flame Art Shamshir,0,0,4,0,0,10000
Lightning Shamshir,0,0,0,4,0,10000
Sacred Shamshir,0,0,0,0,4,10000
Magic Shamshir,0,4,0,0,0,10000
Cold Shamshir,0,4,0,0,0,10000
Poison Shamshir,0,0,0,0,0,10013
Blood Shamshir,0,0,0,0,0,10013
Occult Shamshir,7,0,0,0,0,10013
Bandit's Curved Sword,0,0,0,0,0,10000
Bandit's Heavy Curved Sword,1,0,0,0,0,10000
Bandit's Keen Curved Sword,2,0,0,0,0,10000
Bandit's Quality Curved Sword,8,0,0,0,0,10000
Bandit's Fire Curved Sword,0,0,4,0,0,10005
Bandit's Flame Art Curved Sword,0,0,4,0,0,10000
Bandit's Lightning Curved Sword,0,0,0,4,0,10000
Bandit's Sacred Curved Sword,0,0,0,0,4,10000
Bandit's Magic Curved Sword,0,4,0,0,0,10000
Bandit's Cold Curved Sword,0,4,0,0,0,10000
Bandit's Poison Curved Sword,0,0,0,0,0,10013
Bandit's Blood Curved Sword,0,0,0,0,0,10013
Bandit's Occult Curved Sword,7,0,0,0,0,10013
Magma Blade,0,0,4,0,0,10000
Flowing Curved Sword,0,0,0,0,0,10000
Flowing Heavy Curved Sword,1,0,0,0,0,10000
Flowing Keen Curved Sword,2,0,0,0,0,10000
Flowing Quality Curved Sword,8,0,0,0,0,10000
Flowing Fire Curved Sword,0,0,4,0,0,10005
Flowing Flame Art Curved Sword,0,0,4,0,0,10000
Flowing Lightning Curved Sword,0,0,0,4,0,10000
Flowing Sacred Curved Sword,0,0,0,0,4,10000
Flowing Magic Curved Sword,0,4,0,0,0,10000
Flowing Cold Curved Sword,0,4,0,0,0,10000
Flowing Poison Curved Sword,0,0,0,0,0,10013
Flowing Blood Curved Sword,0,0,0,0,0,10013
Flowing Occult Curved Sword,7,0,0,0,0,10013
Wing of Astel,0,4,0,0,0,10000
Scavenger's Curved Sword,0,0,0,0,0,10000
Scavenger's Heavy Curved Sword,1,0,0,0,0,10000
Scavenger's Keen Curved Sword,2,0,0,0,0,10000
Scavenger's Quality Curved Sword,8,0,0,0,0,10000
Scavenger's Fire Curved Sword,0,0,4,0,0,10005
Scavenger's Flame Art Curved Sword,0,0,4,0,0,10000
Scavenger's Lightning Curved Sword,0,0,0,4,0,10000
Scavenger's Sacred Curved Sword,0,0,0,0,4,10000
Scavenger's Magic Curved Sword,0,4,0,0,0,10000
Scavenger's Cold Curved Sword,0,4,0,0,0,10000
Scavenger's Poison Curved Sword,0,0,0,0,0,10013
Scavenger's Blood Curved Sword,0,0,0,0,0,10013
Scavenger's Occult Curved Sword,7,0,0,0,0,10013
Eclipse Shotel,0,0,0,0,4,10000
Serpent-God's Curved Sword,0,0,0,0,0,10000
Serpent-God's Heavy Curved Sword,1,0,0,0,0,10000
Serpent-God's Keen Curved Sword,2,0,0,0,0,10000
Serpent-God's Quality Curved Sword,8,0,0,0,0,10000
Serpent-God's Fire Curved Sword,0,0,4,0,0,10005
Serpent-God's Flame Art Curved Sword,0,0,4,0,0,10000
Serpent-God's Lightning Curved Sword,0,0,0,4,0,10000
Serpent-God's Sacred Curved Sword,0,0,0,0,4,10000
Serpent-God's Magic Curved Sword,0,4,0,0,0,10000
Serpent-God's Cold Curved Sword,0,4,0,0,0,10000
Serpent-God's Poison Curved Sword,0,0,0,0,0,10013
Serpent-God's Blood Curved Sword,0,0,0,0,0,10013
Serpent-God's Occult Curved Sword,7,0,0,0,0,10013
Mantis Blade,0,0,0,0,0,10000
Heavy Mantis Blade,1,0,0,0,0,10000
Keen Mantis Blade,2,0,0,0,0,10000
Quality Mantis Blade,8,0,0,0,0,10000
Fire Mantis Blade,0,0,4,0,0,10005
Flame Art Mantis Blade,0,0,4,0,0,10000
Lightning Mantis Blade,0,0,0,4,0,10000
Sacred Mantis Blade,0,0,0,0,4,10000
Magic Mantis Blade,0,4,0,0,0,10000
Cold Mantis Blade,0,4,0,0,0,10000
Poison Mantis Blade,0,0,0,0,0,10013
Blood Mantis Blade,0,0,0,0,0,10013
Occult Mantis Blade,7,0,0,0,0,10013
Scimitar,0,0,0,0,0,10000
Heavy Scimitar,1,0,0,0,0,10000
Keen Scimitar,2,0,0,0,0,10000
Quality Scimitar,8,0,0,0,0,10000
Fire Scimitar,0,0,4,0,0,10005
Flame Art Scimitar,0,0,4,0,0,10000
Lightning Scimitar,0,0,0,4,0,10000
Sacred Scimitar,0,0,0,0,4,10000
Magic Scimitar,0,4,0,0,0,10000
Cold Scimitar,0,4,0,0,0,10000
Poison Scimitar,0,0,0,0,0,10013
Bloody Scimitar,0,0,0,0,0,10013
Occult Scimitar,7,0,0,0,0,10013
Grossmesser,0,0,0,0,0,10000
Heavy Grossmesser,1,0,0,0,0,10000
Keen Grossmesser,2,0,0,0,0,10000
Quality Grossmesser,8,0,0,0,0,10000
Fire Grossmesser,0,0,4,0,0,10005
Flame Art Grossmesser,0,0,4,0,0,10000
Lightning Grossmesser,0,0,0,4,0,10000
Sacred Grossmesser,0,0,0,0,4,10000
Magic Grossmesser,0,4,0,0,0,10000
Cold Grossmesser,0,4,0,0,0,10000
Poison Grossmesser,0,0,0,0,0,10013
Blood Grossmesser,0,0,0,0,0,10013
Occult Grossmesser,7,0,0,0,0,10013
Onyx Lord's Greatsword,0,4,0,0,0,10000
Dismounter,0,0,0,0,0,10000
Heavy Dismounter,1,0,0,0,0,10000
Keen Dismounter,2,0,0,0,0,10000
Quality Dismounter,8,0,0,0,0,10000
Fire Dismounter,0,0,4,0,0,10005
Flame Art Dismounter,0,0,4,0,0,10000
Lightning Dismounter,0,0,0,4,0,10000
Sacred Dismounter,0,0,0,0,4,10000
Magic Dismounter,0,4,0,0,0,10000
Cold Dismounter,0,4,0,0,0,10000
Poison Dismounter,0,0,0,0,0,10013
Blood Dismounter,0,0,0,0,0,10013
Occult Dismounter,7,0,0,0,0,10013
Bloodhound's Fang,0,0,0,0,0,10000
Magma Wyrm's Scalesword,0,0,4,0,0,10000
Zamor Curved Sword,0,0,0,0,0,10000
Omen Cleaver,0,0,0,0,0,10000
Heavy Omen Cleaver,1,0,0,0,0,10000
Keen Omen Cleaver,2,0,0,0,0,10000
Quality Omen Cleaver,8,0,0,0,0,10000
Fire Omen Cleaver,0,0,4,0,0,10005
Flame Art Omen Cleaver,0,0,4,0,0,10000
Lightning Omen Cleaver,0,0,0,4,0,10000
Sacred Omen Cleaver,0,0,0,0,4,10000
Magic Omen Cleaver,0,4,0,0,0,10000
Cold Omen Cleaver,0,4,0,0,0,10000
Poison Omen Cleaver,0,0,0,0,0,10013
Blood Omen Cleaver,0,0,0,0,0,10013
Occult Omen Cleaver,7,0,0,0,0,10013
Monk's Flameblade,0,0,0,0,0,10000
Monk's Heavy Flameblade,1,0,0,0,0,10000
Monk's Keen Flameblade,2,0,0,0,0,10000
Monk's Quality Flameblade,8,0,0,0,0,10000
Monk's Fire Flameblade,0,0,4,0,0,10005
Monk's Flame Art Flameblade,0,0,4,0,0,10000
Monk's Lightning Flameblade,0,0,0,4,0,10000
Monk's Sacred Flameblade,0,0,0,0,4,10000
Monk's Magic Flameblade,0,4,0,0,0,10000
Monk's Cold Flameblade,0,4,0,0,0,10000
Monk's Poison Flameblade,0,0,0,0,0,10013
Monk's Blood Flameblade,0,0,0,0,0,10013
Monk's Occult Flameblade,7,0,0,0,0,10013
Beastman's Cleaver,0,0,0,0,0,10000
Beastman's Heavy Cleaver,1,0,0,0,0,10000
Beastman's Keen Cleaver,2,0,0,0,0,10000
Beastman's Quality Cleaver,8,0,0,0,0,10000
Beastman's Fire Cleaver,0,0,4,0,0,10005
Beastman's Flame Art Cleaver,0,0,4,0,0,10000
Beastman's Lightning Cleaver,0,0,0,4,0,10000
Beastman's Sacred Cleaver,0,0,0,0,4,10000
Beastman's Magic Cleaver,0,4,0,0,0,10000
Beastman's Cold Cleaver,0,4,0,0,0,10000
Beastman's Poison Cleaver,0,0,0,0,0,10013
Beastman's Blood Cleaver,0,0,0,0,0,10013
Beastman's Occult Cleaver,7,0,0,0,0,10013
Morgott's Cursed Sword,7,0,0,0,0,10013
Uchigatana,0,0,0,0,0,10000
Heavy Uchigatana,1,0,0,0,0,10000
Keen Uchigatana,2,0,0,0,0,10000
Quality Uchigatana,8,0,0,0,0,10000
Fire Uchigatana,0,0,4,0,0,10005
Flame Art Uchigatana,0,0,4,0,0,10000
Lightning Uchigatana,0,0,0,4,0,10000
Sacred Uchigatana,0,0,0,0,4,10000
Magic Uchigatana,0,4,0,0,0,10000
Cold Uchigatana,0,4,0,0,0,10000
Poison Uchigatana,0,0,0,0,0,10013
Blood Uchigatana,0,0,0,0,0,10013
Occult Uchigatana,7,0,0,0,0,10013
Nagakiba,0,0,0,0,0,10000
Heavy Nagakiba,1,0,0,0,0,10000
Keen Nagakiba,2,0,0,0,0,10000
Quality Nagakiba,8,0,0,0,0,10000
Fire Nagakiba,0,0,4,0,0,10005
Flame Art Nagakiba,0,0,4,0,0,10000
Lightning Nagakiba,0,0,0,4,0,10000
Sacred Nagakiba,0,0,0,0,4,10000
Magic Nagakiba,0,4,0,0,0,10000
Cold Nagakiba,0,4,0,0,0,10000
Poison Nagakiba,0,0,0,0,0,10013
Blood Nagakiba,0,0,0,0,0,10013
Occult Nagakiba,7,0,0,0,0,10013
Hand of Malenia,0,0,0,0,0,10000
Meteoric Ore Blade,0,4,0,0,0,10000
Rivers of Blood,7,0,4,0,0,10100
Moonveil,0,4,0,0,0,10000
Dragonscale Blade,0,0,0,4,0,10000
Serpentbone Blade,0,0,0,0,0,10000
Twinblade,0,0,0,0,0,10000
Heavy Twinblade,1,0,0,0,0,10000
Keen Twinblade,2,0,0,0,0,10000
Quality Twinblade,8,0,0,0,0,10000
Fire Twinblade,0,0,4,0,0,10005
Flame Art Twinblade,0,0,4,0,0,10000
Lightning Twinblade,0,0,0,4,0,10000
Sacred Twinblade,0,0,0,0,4,10000
Magic Twinblade,0,4,0,0,0,10000
Cold Twinblade,0,4,0,0,0,10000
Poison Twinblade,0,0,0,0,0,10013
Bloody Twinblade,0,0,0,0,0,10013
Occult Twinblade,7,0,0,0,0,10013
Godskin Peeler,0,0,0,0,0,10000
Heavy Godskin Peeler,1,0,0,0,0,10000
Keen Godskin Peeler,2,0,0,0,0,10000
Quality Godskin Peeler,8,0,0,0,0,10000
Fire Godskin Peeler,0,0,4,0,0,10005
Flame Art Godskin Peeler,0,0,4,0,0,10000
Lightning Godskin Peeler,0,0,0,4,0,10000
Sacred Godskin Peeler,0,0,0,0,4,10000
Magic Godskin Peeler,0,4,0,0,0,10000
Cold Godskin Peeler,0,4,0,0,0,10000
Poison Godskin Peeler,0,0,0,0,0,10013
Blood Godskin Peeler,0,0,0,0,0,10013
Occult Godskin Peeler,7,0,0,0,0,10013
Twinned Knight Swords,0,0,0,0,0,10000
Heavy Twinned Knight Swords,1,0,0,0,0,10000
Keen Twinned Knight Swords,2,0,0,0,0,10000
Quality Twinned Knight Swords,8,0,0,0,0,10000
Fire Twinned Knight Swords,0,0,4,0,0,10005
Flame Art Twinned Knight Swords,0,0,4,0,0,10000
Lightning Twinned Knight Swords,0,0,0,4,0,10000
Sacred Twinned Knight Swords,0,0,0,0,4,10000
Magic Twinned Knight Swords,0,4,0,0,0,10000
Cold Twinned Knight Swords,0,4,0,0,0,10000
Poison Twinned Knight Swords,0,0,0,0,0,10013
Blood Twinned Knight Swords,0,0,0,0,0,10013
Occult Twinned Knight Swords,7,0,0,0,0,10013
Eleonora's Poleblade,7,0,4,0,0,10100
Gargoyle's Twinblade,0,0,0,0,0,10000
Gargoyle's Heavy Twinblade,1,0,0,0,0,10000
Gargoyle's Keen Twinblade,2,0,0,0,0,10000
Gargoyle's Quality Twinblade,8,0,0,0,0,10000
Gargoyle's Fire Twinblade,0,0,4,0,0,10005
Gargoyle's Flame Art Twinblade,0,0,4,0,0,10000
Gargoyle's Lightning Twinblade,0,0,0,4,0,10000
Gargoyle's Sacred Twinblade,0,0,0,0,4,10000
Gargoyle's Magic Twinblade,0,4,0,0,0,10000
Gargoyle's Cold Twinblade,0,4,0,0,0,10000
Gargoyle's Poison Twinblade,0,0,0,0,0,10013
Gargoyle's Blood Twinblade,0,0,0,0,0,10013
Gargoyle's Occult Twinblade,7,0,0,0,0,10013
Gargoyle's Black Blades,0,0,0,0,4,10000
Mace,0,0,0,0,0,10000
Heavy Mace,1,0,0,0,0,10000
Keen Mace,2,0,0,0,0,10000
Quality Mace,8,0,0,0,0,10000
Fire Mace,0,0,4,0,0,10005
Flame Art Mace,0,0,4,0,0,10000
Lightning Mace,0,0,0,4,0,10000
Sacred Mace,0,0,0,0,4,10000
Magic Mace,0,4,0,0,0,10000
Cold Mace,0,4,0,0,0,10000
Poison Mace,0,0,0,0,0,10013
Blood Mace,0,0,0,0,0,10013
Occult Mace,7,0,0,0,0,10013
Club,7,0,0,0,0,10000
Heavy Club,1,0,0,0,0,10000
Keen Club,2,0,0,0,0,10000
Quality Club,8,0,0,0,0,10000
Fire Club,0,0,4,0,0,10005
Flame Art Club,0,0,4,0,0,10000
Lightning Club,0,0,0,4,0,10000
Sacred Club,0,0,0,0,4,10000
Magic Club,0,4,0,0,0,10000
Cold Club,0,4,0,0,0,10000
Poison Club,0,0,0,0,0,10013
Bloody Club,0,0,0,0,0,10013
Occult Club,7,0,0,0,0,10013
Curved Club,7,0,0,0,0,10000
Heavy Curved Club,1,0,0,0,0,10000
Keen Curved Club,2,0,0,0,0,10000
Quality Curved Club,8,0,0,0,0,10000
Fire Curved Club,0,0,4,0,0,10005
Flame Art Curved Club,0,0,4,0,0,10000
Lightning Curved Club,0,0,0,4,0,10000
Sacred Curved Club,0,0,0,0,4,10000
Magic Curved Club,0,4,0,0,0,10000
Cold Curved Club,0,4,0,0,0,10000
Poison Curved Club,0,0,0,0,0,10013
Blood Curved Club,0,0,0,0,0,10013
Occult Curved Club,7,0,0,0,0,10013
Warpick,0,0,0,0,0,10000
Heavy Warpick,1,0,0,0,0,10000
Keen Warpick,2,0,0,0,0,10000
Quality Warpick,8,0,0,0,0,10000
Fire Warpick,0,0,4,0,0,10005
Flame Art Warpick,0,0,4,0,0,10000
Lightning Warpick,0,0,0,4,0,10000
Sacred Warpick,0,0,0,0,4,10000
Magic Warpick,0,4,0,0,0,10000
Cold Warpick,0,4,0,0,0,10000
Poison Warpick,0,0,0,0,0,10013
Blood Warpick,0,0,0,0,0,10013
Occult Warpick,7,0,0,0,0,10013
Morning Star,0,0,0,0,0,10000
Heavy Morning Star,1,0,0,0,0,10000
Keen Morning Star,2,0,0,0,0,10000
Quality Morning Star,8,0,0,0,0,10000
Fire Morning Star,0,0,4,0,0,10005
Flame Art Morning Star,0,0,4,0,0,10000
Lightning Morning Star,0,0,0,4,0,10000
Sacred Morning Star,0,0,0,0,4,10000
Magic Morning Star,0,4,0,0,0,10000
Cold Morning Star,0,4,0,0,0,10000
Poison Morning Star,0,0,0,0,0,10013
Blood Morning Star,0,0,0,0,0,10013
Occult Morning Star,7,0,0,0,0,10013
Varre's Bouquet,7,0,0,0,0,10013
Spiked Club,0,0,0,0,0,10000
Heavy Spiked Club,1,0,0,0,0,10000
Keen Spiked Club,2,0,0,0,0,10000
Quality Spiked Club,8,0,0,0,0,10000
Fire Spiked Club,0,0,4,0,0,10005
Flame Art Spiked Club,0,0,4,0,0,10000
Lightning Spiked Club,0,0,0,4,0,10000
Sacred Spiked Club,0,0,0,0,4,10000
Magic Spiked Club,0,4,0,0,0,10000
Cold Spiked Club,0,4,0,0,0,10000
Poison Spiked Club,0,0,0,0,0,10013
Blood Spiked Club,0,0,0,0,0,10013
Occult Spiked Club,7,0,0,0,0,10013
Hammer,0,0,0,0,0,10000
Heavy Hammer,1,0,0,0,0,10000
Keen Hammer,2,0,0,0,0,10000
Quality Hammer,8,0,0,0,0,10000
Fire Hammer,0,0,4,0,0,10005
Flame Art Hammer,0,0,4,0,0,10000
Lightning Hammer,0,0,0,4,0,10000
Sacred Hammer,0,0,0,0,4,10000
Magic Hammer,0,4,0,0,0,10000
Cold Hammer,0,4,0,0,0,10000
Poison Hammer,0,0,0,0,0,10013
Blood Hammer,0,0,0,0,0,10013
Occult Hammer,7,0,0,0,0,10013
Monk's Flamemace,0,0,0,0,0,10000
Monk's Heavy Flamemace,1,0,0,0,0,10000
Monk's Keen Flamemace,2,0,0,0,0,10000
Monk's Quality Flamemace,8,0,0,0,0,10000
Monk's Fire Flamemace,0,0,4,0,0,10005
Monk's Flame Art Flamemace,0,0,4,0,0,10000
Monk's Lightning Flamemace,0,0,0,4,0,10000
Monk's Sacred Flamemace,0,0,0,0,4,10000
Monk's Magic Flamemace,0,4,0,0,0,10000
Monk's Cold Flamemace,0,4,0,0,0,10000
Monk's Poison Flamemace,0,0,0,0,0,10013
Monk's Blood Flamemace,0,0,0,0,0,10013
Monk's Occult Flamemace,7,0,0,0,0,10013
Envoy's Horn,0,0,0,0,4,10000
Scepter of the All-Knowing,0,4,0,0,0,10000
Nox Flowing Hammer,0,0,0,0,0,10000
Ringed Finger,0,0,0,0,0,10000
Stone Club,0,0,0,0,0,10000
Heavy Stone Club,1,0,0,0,0,10000
Keen Stone Club,2,0,0,0,0,10000
Quality Stone Club,8,0,0,0,0,10000
Fire Stone Club,0,0,4,0,0,10005
Flame Art Stone Club,0,0,4,0,0,10000
Lightning Stone Club,0,0,0,4,0,10000
Sacred Stone Club,0,0,0,0,4,10000
Magic Stone Club,0,4,0,0,0,10000
Cold Stone Club,0,4,0,0,0,10000
Poison Stone Club,0,0,0,0,0,10013
Blood Stone Club,0,0,0,0,0,10013
Occult Stone Club,7,0,0,0,0,10013
Marika's Hammer,0,0,0,0,4,10000
Large Club,0,0,0,0,0,10000
Heavy Large Club,1,0,0,0,0,10000
Keen Large Club,2,0,0,0,0,10000
Quality Large Club,8,0,0,0,0,10000
Fire Large Club,0,0,4,0,0,10005
Flame Art Large Club,0,0,4,0,0,10000
Lightning Large Club,0,0,0,4,0,10000
Sacred Large Club,0,0,0,0,4,10000
Magic Large Club,0,4,0,0,0,10000
Cold Large Club,0,4,0,0,0,10000
Poison Large Club,0,0,0,0,0,10013
Blood Large Club,0,0,0,0,0,10013
Occult Large Club,7,0,0,0,0,10013
Greathorn Hammer,0,0,0,0,0,10000
Heavy Greathorn Hammer,1,0,0,0,0,10000
Keen Greathorn Hammer,2,0,0,0,0,10000
Quality Greathorn Hammer,8,0,0,0,0,10000
Fire Greathorn Hammer,0,0,4,0,0,10005
Flame Art Greathorn Hammer,0,0,4,0,0,10000
Lightning Greathorn Hammer,0,0,0,4,0,10000
Sacred Greathorn Hammer,0,0,0,0,4,10000
Magic Greathorn Hammer,0,4,0,0,0,10000
Cold Greathorn Hammer,0,4,0,0,0,10000
Poison Greathorn Hammer,0,0,0,0,0,10013
Blood Greathorn Hammer,0,0,0,0,0,10013
Occult Greathorn Hammer,7,0,0,0,0,10013
Battle Hammer,0,0,0,0,0,10000
Heavy Battle Hammer,1,0,0,0,0,10000
Keen Battle Hammer,2,0,0,0,0,10000
Quality Battle Hammer,8,0,0,0,0,10000
Fire Battle Hammer,0,0,4,0,0,10005
Flame Art Battle Hammer,0,0,4,0,0,10000
Lightning Battle Hammer,0,0,0,4,0,10000
Sacred Battle Hammer,0,0,0,0,4,10000
Magic Battle Hammer,0,4,0,0,0,10000
Cold Battle Hammer,0,4,0,0,0,10000
Poison Battle Hammer,0,0,0,0,0,10013
Blood Battle Hammer,0,0,0,0,0,10013
Occult Battle Hammer,7,0,0,0,0,10013
Great Mace,0,0,0,0,0,10000
Heavy Great Mace,1,0,0,0,0,10000
Keen Great Mace,2,0,0,0,0,10000
Quality Great Mace,8,0,0,0,0,10000
Fire Great Mace,0,0,4,0,0,10005
Flame Art Great Mace,0,0,4,0,0,10000
Lightning Great Mace,0,0,0,4,0,10000
Sacred Great Mace,0,0,0,0,4,10000
Magic Great Mace,0,4,0,0,0,10000
Cold Great Mace,0,4,0,0,0,10000
Poison Great Mace,0,0,0,0,0,10013
Blood Great Mace,0,0,0,0,0,10013
Occult Great Mace,7,0,0,0,0,10013
Curved Great Club,0,0,0,0,0,10000
Heavy Curved Great Club,1,0,0,0,0,10000
Keen Curved Great Club,2,0,0,0,0,10000
Quality Curved Great Club,8,0,0,0,0,10000
Fire Curved Great Club,0,0,4,0,0,10005
Flame Art Curved Great Club,0,0,4,0,0,10000
Lightning Curved Great Club,0,0,0,4,0,10000
Sacred Curved Great Club,0,0,0,0,4,10000
Magic Curved Great Club,0,4,0,0,0,10000
Cold Curved Great Club,0,4,0,0,0,10000
Poison Curved Great Club,0,0,0,0,0,10013
Blood Curved Great Club,0,0,0,0,0,10013
Occult Curved Great Club,7,0,0,0,0,10013
Celebrant's Skull,0,0,0,0,0,10000
Celebrant's Heavy Skull,1,0,0,0,0,10000
Celebrant's Keen Skull,2,0,0,0,0,10000
Celebrant's Quality Skull,8,0,0,0,0,10000
Celebrant's Fire Skull,0,0,4,0,0,10005
Celebrant's Flame Art Skull,0,0,4,0,0,10000
Celebrant's Lightning Skull,0,0,0,4,0,10000
Celebrant's Sacred Skull,0,0,0,0,4,10000
Celebrant's Magic Skull,0,4,0,0,0,10000
Celebrant's Cold Skull,0,4,0,0,0,10000
Celebrant's Poison Skull,0,0,0,0,0,10013
Celebrant's Blood Skull,0,0,0,0,0,10013
Celebrant's Occult Skull,7,0,0,0,0,10013
Pickaxe,0,0,0,0,0,10000
Heavy Pickaxe,1,0,0,0,0,10000
Keen Pickaxe,2,0,0,0,0,10000
Quality Pickaxe,8,0,0,0,0,10000
Fire Pickaxe,0,0,4,0,0,10005
Flame Art Pickaxe,0,0,4,0,0,10000
Lightning Pickaxe,0,0,0,4,0,10000
Sacred Pickaxe,0,0,0,0,4,10000
Magic Pickaxe,0,4,0,0,0,10000
Cold Pickaxe,0,4,0,0,0,10000
Poison Pickaxe,0,0,0,0,0,10013
Blood Pickaxe,0,0,0,0,0,10013
Occult Pickaxe,7,0,0,0,0,10013
Beastclaw Greathammer,0,0,0,0,4,10000
Envoy's Long Horn,0,0,0,0,4,10000
Cranial Vessel Candlestand,0,0,4,0,0,10000
Great Stars,0,0,0,0,0,10000
Heavy Great Stars,1,0,0,0,0,10000
Keen Great Stars,2,0,0,0,0,10000
Quality Great Stars,8,0,0,0,0,10000
Fire Great Stars,0,0,4,0,0,10005
Flame Art Great Stars,0,0,4,0,0,10000
Lightning Great Stars,0,0,0,4,0,10000
Sacred Great Stars,0,0,0,0,4,10000
Magic Great Stars,0,4,0,0,0,10000
Cold Great Stars,0,4,0,0,0,10000
Poison Great Stars,0,0,0,0,0,10013
Blood Great Stars,0,0,0,0,0,10013
Occult Great Stars,7,0,0,0,0,10013
Brick Hammer,0,0,0,0,0,10000
Heavy Brick Hammer,1,0,0,0,0,10000
Keen Brick Hammer,2,0,0,0,0,10000
Quality Brick Hammer,8,0,0,0,0,10000
Fire Brick Hammer,0,0,4,0,0,10005
Flame Art Brick Hammer,0,0,4,0,0,10000
Lightning Brick Hammer,0,0,0,4,0,10000
Sacred Brick Hammer,0,0,0,0,4,10000
Magic Brick Hammer,0,4,0,0,0,10000
Cold Brick Hammer,0,4,0,0,0,10000
Poison Brick Hammer,0,0,0,0,0,10013
Blood Brick Hammer,0,0,0,0,0,10013
Occult Brick Hammer,7,0,0,0,0,10013
Devourer's Scepter,0,0,4,0,0,10000
Rotten Battle Hammer,0,0,0,0,0,10000
Heavy Rotten Battle Hammer,1,0,0,0,0,10000
Keen Rotten Battle Hammer,2,0,0,0,0,10000
Quality Rotten Battle Hammer,8,0,0,0,0,10000
Fire Rotten Battle Hammer,0,0,4,0,0,10005
Flame Art Rotten Battle Hammer,0,0,4,0,0,10000
Lightning Rotten Battle Hammer,0,0,0,4,0,10000
Sacred Rotten Battle Hammer,0,0,0,0,4,10000
Magic Rotten Battle Hammer,0,4,0,0,0,10000
Cold Rotten Battle Hammer,0,4,0,0,0,10000
Poison Rotten Battle Hammer,0,0,0,0,0,10013
Blood Rotten Battle Hammer,0,0,0,0,0,10013
Occult Rotten Battle Hammer,7,0,0,0,0,10013
Nightrider Flail,0,0,0,0,0,10000
Heavy Nightrider Flail,1,0,0,0,0,10000
Keen Nightrider Flail,2,0,0,0,0,10000
Quality Nightrider Flail,8,0,0,0,0,10000
Fire Nightrider Flail,0,0,4,0,0,10005
Flame Art Nightrider Flail,0,0,4,0,0,10000
Lightning Nightrider Flail,0,0,0,4,0,10000
Sacred Nightrider Flail,0,0,0,0,4,10000
Magic Nightrider Flail,0,4,0,0,0,10000
Cold Nightrider Flail,0,4,0,0,0,10000
Poison Nightrider Flail,0,0,0,0,0,10013
Blood Nightrider Flail,0,0,0,0,0,10013
Occult Nightrider Flail,7,0,0,0,0,10013
Flail,0,0,0,0,0,10000
Heavy Flail,1,0,0,0,0,10000
Keen Flail,2,0,0,0,0,10000
Quality Flail,8,0,0,0,0,10000
Fire Flail,0,0,4,0,0,10005
Flame Art Flail,0,0,4,0,0,10000
Lightning Flail,0,0,0,4,0,10000
Sacred Flail,0,0,0,0,4,10000
Magic Flail,0,4,0,0,0,10000
Cold Flail,0,4,0,0,0,10000
Poison Flail,0,0,0,0,0,10013
Blood Flail,0,0,0,0,0,10013
Occult Flail,7,0,0,0,0,10013
Family Heads,0,4,0,0,0,10000
Bastard's Stars,0,4,0,0,0,10000
Chainlink Flail,0,0,0,0,0,10000
Heavy Chainlink Flail,1,0,0,0,0,10000
Keen Chainlink Flail,2,0,0,0,0,10000
Quality Chainlink Flail,8,0,0,0,0,10000
Fire Chainlink Flail,0,0,4,0,0,10005
Flame Art Chainlink Flail,0,0,4,0,0,10000
Lightning Chainlink Flail,0,0,0,4,0,10000
Sacred Chainlink Flail,0,0,0,0,4,10000
Magic Chainlink Flail,0,4,0,0,0,10000
Cold Chainlink Flail,0,4,0,0,0,10000
Poison Chainlink Flail,0,0,0,0,0,10013
Blood Chainlink Flail,0,0,0,0,0,10013
Occult Chainlink Flail,7,0,0,0,0,10013
Battle Axe,0,0,0,0,0,10000
Heavy Battle Axe,1,0,0,0,0,10000
Keen Battle Axe,2,0,0,0,0,10000
Quality Battle Axe,8,0,0,0,0,10000
Fire Battle Axe,0,0,4,0,0,10005
Flame Art Battle Axe,0,0,4,0,0,10000
Lightning Battle Axe,0,0,0,4,0,10000
Sacred Battle Axe,0,0,0,0,4,10000
Magic Battle Axe,0,4,0,0,0,10000
Cold Battle Axe,0,4,0,0,0,10000
Poison Battle Axe,0,0,0,0,0,10013
Blood Battle Axe,0,0,0,0,0,10013
Occult Battle Axe,7,0,0,0,0,10013
Forked Hatchet,0,0,0,0,0,10000
Heavy Forked Hatchet,1,0,0,0,0,10000
Keen Forked Hatchet,2,0,0,0,0,10000
Quality Forked Hatchet,8,0,0,0,0,10000
Fire Forked Hatchet,0,0,4,0,0,10005
Flame Art Forked Hatchet,0,0,4,0,0,10000
Lightning Forked Hatchet,0,0,0,4,0,10000
Sacred Forked Hatchet,0,0,0,0,4,10000
Magic Forked Hatchet,0,4,0,0,0,10000
Cold Forked Hatchet,0,4,0,0,0,10000
Poison Forked Hatchet,0,0,0,0,0,10013
Blood Forked Hatchet,0,0,0,0,0,10013
Occult Forked Hatchet,7,0,0,0,0,10013
Hand Axe,0,0,0,0,0,10000
Heavy Hand Axe,1,0,0,0,0,10000
Keen Hand Axe,2,0,0,0,0,10000
Quality Hand Axe,8,0,0,0,0,10000
Fire Hand Axe,0,0,4,0,0,10005
Flame Art Hand Axe,0,0,4,0,0,10000
