Name,Str +0,Dex +0,Int +0,Fai +0,Arc +0,Str +1,Dex +1,Int +1,Fai +1,Arc +1,Str +2,Dex +2,Int +2,Fai +2,Arc +2,Str +3,Dex +3,Int +3,Fai +3,Arc +3,Str +4,Dex +4,Int +4,Fai +4,Arc +4,Str +5,Dex +5,Int +5,Fai +5,Arc +5,Str +6,Dex +6,Int +6,Fai +6,Arc +6,Str +7,Dex +7,Int +7,Fai +7,Arc +7,Str +8,Dex +8,Int +8,Fai +8,Arc +8,Str +9,Dex +9,Int +9,Fai +9,Arc +9,Str +10,Dex +10,Int +10,Fai +10,Arc +10,Str +11,Dex +11,Int +11,Fai +11,Arc +11,Str +12,Dex +12,Int +12,Fai +12,Arc +12,Str +13,Dex +13,Int +13,Fai +13,Arc +13,Str +14,Dex +14,Int +14,Fai +14,Arc +14,Str +15,Dex +15,Int +15,Fai +15,Arc +15,Str +16,Dex +16,Int +16,Fai +16,Arc +16,Str +17,Dex +17,Int +17,Fai +17,Arc +17,Str +18,Dex +18,Int +18,Fai +18,Arc +18,Str +19,Dex +19,Int +19,Fai +19,Arc +19,Str +20,Dex +20,Int +20,Fai +20,Arc +20,Str +21,Dex +21,Int +21,Fai +21,Arc +21,Str +22,Dex +22,Int +22,Fai +22,Arc +22,Str +23,Dex +23,Int +23,Fai +23,Arc +23,Str +24,Dex +24,Int +24,Fai +24,Arc +24,Str +25,Dex +25,Int +25,Fai +25,Arc +25
Fire Grossmesser,0.442,0.08,0,0,0,0.4556,0.0848,0,0,0,0.4692,0.0896,0,0,0,0.4828,0.0944,0,0,0,0.4964,0.0992,0,0,0,0.51,0.104,0,0,0,0.5236,0.1088,0,0,0,0.5372,0.1136,0,0,0,0.5508,0.1184,0,0,0,0.5644,0.1232,0,0,0,0.578,0.128,0,0,0,0.5882,0.1328,0,0,0,0.5984,0.1376,0,0,0,0.6086,0.1424,0,0,0,0.6188,0.1472,0,0,0,0.629,0.152,0,0,0,0.6392,0.1568,0,0,0,0.6494,0.1616,0,0,0,0.6596,0.1664,0,0,0,0.6698,0.1712,0,0,0,0.68,0.176,0,0,0,0.6868,0.1792,0,0,0,0.6936,0.1824,0,0,0,0.7004,0.1856,0,0,0,0.7072,0.1888,0,0,0,0.714,0.192,0,0,0
Flame Art Grossmesser,0.112,0.08,0,0.37,0,0.119,0.085,0,0.3959,0,0.126,0.09,0,0.4218,0,0.133,0.095,0,0.4477,0,0.14,0.1,0,0.4736,0,0.147,0.105,0,0.4995,0,0.154,0.11,0,0.5254,0,0.161,0.115,0,0.5513,0,0.168,0.12,0,0.5772,0,0.175,0.125,0,0.6031,0,0.182,0.13,0,0.629,0,0.1876,0.134,0,0.6475,0,0.1932,0.138,0,0.666,0,0.1988,0.142,0,0.6845,0,0.2044,0.146,0,0.703,0,0.21,0.15,0,0.7215,0,0.2156,0.154,0,0.74,0,0.2212,0.158,0,0.7585,0,0.2268,0.162,0,0.777,0,0.2324,0.166,0,0.7955,0,0.238,0.17,0,0.814,0,0.2408,0.172,0,0.8214,0,0.2436,0.174,0,0.8288,0,0.2464,0.176,0,0.8362,0,0.2492,0.178,0,0.8436,0,0.252,0.18,0,0.851,0
Lightning Grossmesser,0.08,0.442,0,0,0,0.0848,0.4556,0,0,0,0.0896,0.4692,0,0,0,0.0944,0.4828,0,0,0,0.0992,0.4964,0,0,0,0.104,0.51,0,0,0,0.1088,0.5236,0,0,0,0.1136,0.5372,0,0,0,0.1184,0.5508,0,0,0,0.1232,0.5644,0,0,0,0.128,0.578,0,0,0,0.1328,0.5882,0,0,0,0.1376,0.5984,0,0,0,0.1424,0.6086,0,0,0,0.1472,0.6188,0,0,0,0.152,0.629,0,0,0,0.1568,0.6392,0,0,0,0.1616,0.6494,0,0,0,0.1664,0.6596,0,0,0,0.1712,0.6698,0,0,0,0.176,0.68,0,0,0,0.1792,0.6868,0,0,0,0.1824,0.6936,0,0,0,0.1856,0.7004,0,0,0,0.1888,0.7072,0,0,0,0.192,0.714,0,0,0
Sacred Grossmesser,0.14,0.1,0,0.37,0,0.1456,0.104,0,0.3959,0,0.1512,0.108,0,0.4218,0,0.1568,0.112,0,0.4477,0,0.1624,0.116,0,0.4736,0,0.168,0.12,0,0.4995,0,0.1736,0.124,0,0.5254,0,0.1792,0.128,0,0.5513,0,0.1848,0.132,0,0.5772,0,0.1904,0.136,0,0.6031,0,0.196,0.14,0,0.629,0,0.2002,0.143,0,0.6475,0,0.2044,0.146,0,0.666,0,0.2086,0.149,0,0.6845,0,0.2128,0.152,0,0.703,0,0.217,0.155,0,0.7215,0,0.2212,0.158,0,0.74,0,0.2254,0.161,0,0.7585,0,0.2296,0.164,0,0.777,0,0.2338,0.167,0,0.7955,0,0.238,0.17,0,0.814,0,0.2408,0.172,0,0.8214,0,0.2436,0.174,0,0.8288,0,0.2464,0.176,0,0.8362,0,0.2492,0.178,0,0.8436,0,0.252,0.18,0,0.851,0
Magic Grossmesser,0.072,0.056,0.41,0,0,0.0747,0.0581,0.4387,0,0,0.0774,0.0602,0.4674,0,0,0.0801,0.0623,0.4961,0,0,0.0828,0.0644,0.5248,0,0,0.0855,0.0665,0.5535,0,0,0.0882,0.0686,0.5822,0,0,0.0909,0.0707,0.6109,0,0,0.0936,0.0728,0.6396,0,0,0.0963,0.0749,0.6683,0,0,0.099,0.077,0.697,0,0,0.0999,0.0777,0.7175,0,0,0.1008,0.0784,0.738,0,0,0.1017,0.0791,0.7585,0,0,0.1026,0.0798,0.779,0,0,0.1035,0.0805,0.7995,0,0,0.1044,0.0812,0.82,0,0,0.1053,0.0819,0.8405,0,0,0.1062,0.0826,0.861,0,0,0.1071,0.0833,0.8815,0,0,0.108,0.084,0.902,0,0,0.1098,0.0854,0.9143,0,0,0.1116,0.0868,0.9266,0,0,0.1134,0.0882,0.9389,0,0,0.1152,0.0896,0.9512,0,0,0.117,0.091,0.9635,0,0
Cold Grossmesser,0.42,0.32,0.39,0,0,0.441,0.336,0.4095,0,0,0.462,0.352,0.429,0,0,0.483,0.368,0.4485,0,0,0.504,0.384,0.468,0,0,0.525,0.4,0.4875,0,0,0.546,0.416,0.507,0,0,0.567,0.432,0.5265,0,0,0.588,0.448,0.546,0,0,0.609,0.464,0.5655,0,0,0.63,0.48,0.585,0,0,0.6426,0.4896,0.6006,0,0,0.6552,0.4992,0.6162,0,0,0.6678,0.5088,0.6318,0,0,0.6804,0.5184,0.6474,0,0,0.693,0.528,0.663,0,0,0.7056,0.5376,0.6786,0,0,0.7182,0.5472,0.6942,0,0,0.7308,0.5568,0.7098,0,0,0.7434,0.5664,0.7254,0,0,0.756,0.576,0.741,0,0,0.7644,0.5824,0.7488,0,0,0.7728,0.5888,0.7566,0,0,0.7812,0.5952,0.7644,0,0,0.7896,0.6016,0.7722,0,0,0.798,0.608,0.78,0,0
Poison Grossmesser,0.44,0.34,0,0,0.3,0.4576,0.3536,0,0,0.309,0.4752,0.3672,0,0,0.318,0.4928,0.3808,0,0,0.327,0.5104,0.3944,0,0,0.336,0.528,0.408,0,0,0.345,0.5456,0.4216,0,0,0.354,0.5632,0.4352,0,0,0.363,0.5808,0.4488,0,0,0.372,0.5984,0.4624,0,0,0.381,0.616,0.476,0,0,0.39,0.6292,0.4862,0,0,0.393,0.6424,0.4964,0,0,0.396,0.6556,0.5066,0,0,0.399,0.6688,0.5168,0,0,0.402,0.682,0.527,0,0,0.405,0.6952,0.5372,0,0,0.408,0.7084,0.5474,0,0,0.411,0.7216,0.5576,0,0,0.414,0.7348,0.5678,0,0,0.417,0.748,0.578,0,0,0.42,0.7656,0.5916,0,0,0.423,0.7832,0.6052,0,0,0.426,0.8008,0.6188,0,0,0.429,0.8184,0.6324,0,0,0.432,0.836,0.646,0,0,0.435
Blood Grossmesser,0.44,0.34,0,0,0.3,0.4576,0.3536,0,0,0.309,0.4752,0.3672,0,0,0.318,0.4928,0.3808,0,0,0.327,0.5104,0.3944,0,0,0.336,0.528,0.408,0,0,0.345,0.5456,0.4216,0,0,0.354,0.5632,0.4352,0,0,0.363,0.5808,0.4488,0,0,0.372,0.5984,0.4624,0,0,0.381,0.616,0.476,0,0,0.39,0.6292,0.4862,0,0,0.393,0.6424,0.4964,0,0,0.396,0.6556,0.5066,0,0,0.399,0.6688,0.5168,0,0,0.402,0.682,0.527,0,0,0.405,0.6952,0.5372,0,0,0.408,0.7084,0.5474,0,0,0.411,0.7216,0.5576,0,0,0.414,0.7348,0.5678,0,0,0.417,0.748,0.578,0,0,0.42,0.7656,0.5916,0,0,0.423,0.7832,0.6052,0,0,0.426,0.8008,0.6188,0,0,0.429,0.8184,0.6324,0,0,0.432,0.836,0.646,0,0,0.435
Occult Grossmesser,0.144,0.112,0,0,0.7,0.1512,0.1176,0,0,0.728,0.1584,0.1232,0,0,0.756,0.1656,0.1288,0,0,0.784,0.1728,0.1344,0,0,0.812,0.18,0.14,0,0,0.84,0.1872,0.1456,0,0,0.868,0.1944,0.1512,0,0,0.896,0.2016,0.1568,0,0,0.924,0.2088,0.1624,0,0,0.952,0.216,0.168,0,0,0.98,0.2196,0.1708,0,0,1.001,0.2232,0.1736,0,0,1.022,0.2268,0.1764,0,0,1.043,0.2304,0.1792,0,0,1.064,0.234,0.182,0,0,1.085,0.2376,0.1848,0,0,1.106,0.2412,0.1876,0,0,1.127,0.2448,0.1904,0,0,1.148,0.2484,0.1932,0,0,1.169,0.252,0.196,0,0,1.19,0.2556,0.1988,0,0,1.204,0.2592,0.2016,0,0,1.218,0.2628,0.2044,0,0,1.232,0.2664,0.2072,0,0,1.246,0.27,0.21,0,0,1.26
Onyx Lord's Greatsword,0.5,0.1,0.5,0,0,0.54,0.108,0.54,0,0,0.58,0.116,0.58,0,0,0.62,0.124,0.62,0,0,0.66,0.132,0.66,0,0,0.7,0.14,0.7,0,0,0.74,0.148,0.74,0,0,0.78,0.156,0.78,0,0,0.82,0.164,0.82,0,0,0.86,0.172,0.86,0,0,0.9,0.18,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dismounter,0.47,0.37,0,0,0,0.4794,0.3774,0,0,0,0.4888,0.3848,0,0,0,0.4982,0.3922,0,0,0,0.5076,0.3996,0,0,0,0.517,0.407,0,0,0,0.5264,0.4144,0,0,0,0.5358,0.4218,0,0,0,0.5452,0.4292,0,0,0,0.5546,0.4366,0,0,0,0.564,0.444,0,0,0,0.5734,0.4514,0,0,0,0.5828,0.4588,0,0,0,0.5922,0.4662,0,0,0,0.6016,0.4736,0,0,0,0.611,0.481,0,0,0,0.6204,0.4884,0,0,0,0.6298,0.4958,0,0,0,0.6392,0.5032,0,0,0,0.6486,0.5106,0,0,0,0.658,0.518,0,0,0,0.6674,0.5254,0,0,0,0.6768,0.5328,0,0,0,0.6862,0.5402,0,0,0,0.6956,0.5476,0,0,0,0.705,0.555,0,0,0
Heavy Dismounter,0.846,0,0,0,0,0.8695,0,0,0,0,0.893,0,0,0,0,0.9165,0,0,0,0,0.94,0,0,0,0,0.9635,0,0,0,0,0.987,0,0,0,0,1.0105,0,0,0,0,1.034,0,0,0,0,1.0575,0,0,0,0,1.081,0,0,0,0,1.0998,0,0,0,0,1.1186,0,0,0,0,1.1374,0,0,0,0,1.1562,0,0,0,0,1.175,0,0,0,0,1.1938,0,0,0,0,1.2126,0,0,0,0,1.2314,0,0,0,0,1.2502,0,0,0,0,1.269,0,0,0,0,1.2784,0,0,0,0,1.2878,0,0,0,0,1.2972,0,0,0,0,1.3066,0,0,0,0,1.316,0,0,0,0
Keen Dismounter,0.08,0.828,0,0,0,0.0848,0.851,0,0,0,0.0896,0.874,0,0,0,0.0944,0.897,0,0,0,0.0992,0.92,0,0,0,0.104,0.943,0,0,0,0.1088,0.966,0,0,0,0.1136,0.989,0,0,0,0.1184,1.012,0,0,0,0.1232,1.035,0,0,0,0.128,1.058,0,0,0,0.1312,1.0764,0,0,0,0.1344,1.0948,0,0,0,0.1376,1.1132,0,0,0,0.1408,1.1316,0,0,0,0.144,1.15,0,0,0,0.1472,1.1684,0,0,0,0.1504,1.1868,0,0,0,0.1536,1.2052,0,0,0,0.1568,1.2236,0,0,0,0.16,1.242,0,0,0,0.1696,1.2512,0,0,0,0.1792,1.2604,0,0,0,0.1888,1.2696,0,0,0,0.1984,1.2788,0,0,0,0.208,1.288,0,0,0
Quality Dismounter,0.57,0.57,0,0,0,0.5985,0.5985,0,0,0,0.627,0.627,0,0,0,0.6555,0.6555,0,0,0,0.684,0.684,0,0,0,0.7125,0.7125,0,0,0,0.741,0.741,0,0,0,0.7695,0.7695,0,0,0,0.798,0.798,0,0,0,0.8265,0.8265,0,0,0,0.855,0.855,0,0,0,0.8721,0.8721,0,0,0,0.8892,0.8892,0,0,0,0.9063,0.9063,0,0,0,0.9234,0.9234,0,0,0,0.9405,0.9405,0,0,0,0.9576,0.9576,0,0,0,0.9747,0.9747,0,0,0,0.9918,0.9918,0,0,0,1.0089,1.0089,0,0,0,1.026,1.026,0,0,0,1.0374,1.0374,0,0,0,1.0488,1.0488,0,0,0,1.0602,1.0602,0,0,0,1.0716,1.0716,0,0,0,1.083,1.083,0,0,0
Fire Dismounter,0.455,0.08,0,0,0,0.469,0.0848,0,0,0,0.483,0.0896,0,0,0,0.497,0.0944,0,0,0,0.511,0.0992,0,0,0,0.525,0.104,0,0,0,0.539,0.1088,0,0,0,0.553,0.1136,0,0,0,0.567,0.1184,0,0,0,0.581,0.1232,0,0,0,0.595,0.128,0,0,0,0.6055,0.1328,0,0,0,0.616,0.1376,0,0,0,0.6265,0.1424,0,0,0,0.637,0.1472,0,0,0,0.6475,0.152,0,0,0,0.658,0.1568,0,0,0,0.6685,0.1616,0,0,0,0.679,0.1664,0,0,0,0.6895,0.1712,0,0,0,0.7,0.176,0,0,0,0.707,0.1792,0,0,0,0.714,0.1824,0,0,0,0.721,0.1856,0,0,0,0.728,0.1888,0,0,0,0.735,0.192,0,0,0
Flame Art Dismounter,0.072,0.056,0,0.42,0,0.0765,0.0595,0,0.4494,0,0.081,0.063,0,0.4788,0,0.0855,0.0665,0,0.5082,0,0.09,0.07,0,0.5376,0,0.0945,0.0735,0,0.567,0,0.099,0.077,0,0.5964,0,0.1035,0.0805,0,0.6258,0,0.108,0.084,0,0.6552,0,0.1125,0.0875,0,0.6846,0,0.117,0.091,0,0.714,0,0.1206,0.0938,0,0.735,0,0.1242,0.0966,0,0.756,0,0.1278,0.0994,0,0.777,0,0.1314,0.1022,0,0.798,0,0.135,0.105,0,0.819,0,0.1386,0.1078,0,0.84,0,0.1422,0.1106,0,0.861,0,0.1458,0.1134,0,0.882,0,0.1494,0.1162,0,0.903,0,0.153,0.119,0,0.924,0,0.1548,0.1204,0,0.9324,0,0.1566,0.1218,0,0.9408,0,0.1584,0.1232,0,0.9492,0,0.1602,0.1246,0,0.9576,0,0.162,0.126,0,0.966,0
Lightning Dismounter,0.08,0.455,0,0,0,0.0848,0.469,0,0,0,0.0896,0.483,0,0,0,0.0944,0.497,0,0,0,0.0992,0.511,0,0,0,0.104,0.525,0,0,0,0.1088,0.539,0,0,0,0.1136,0.553,0,0,0,0.1184,0.567,0,0,0,0.1232,0.581,0,0,0,0.128,0.595,0,0,0,0.1328,0.6055,0,0,0,0.1376,0.616,0,0,0,0.1424,0.6265,0,0,0,0.1472,0.637,0,0,0,0.152,0.6475,0,0,0,0.1568,0.658,0,0,0,0.1616,0.6685,0,0,0,0.1664,0.679,0,0,0,0.1712,0.6895,0,0,0,0.176,0.7,0,0,0,0.1792,0.707,0,0,0,0.1824,0.714,0,0,0,0.1856,0.721,0,0,0,0.1888,0.728,0,0,0,0.192,0.735,0,0,0
Sacred Dismounter,0.09,0.07,0,0.42,0,0.0936,0.0728,0,0.4494,0,0.0972,0.0756,0,0.4788,0,0.1008,0.0784,0,0.5082,0,0.1044,0.0812,0,0.5376,0,0.108,0.084,0,0.567,0,0.1116,0.0868,0,0.5964,0,0.1152,0.0896,0,0.6258,0,0.1188,0.0924,0,0.6552,0,0.1224,0.0952,0,0.6846,0,0.126,0.098,0,0.714,0,0.1287,0.1001,0,0.735,0,0.1314,0.1022,0,0.756,0,0.1341,0.1043,0,0.777,0,0.1368,0.1064,0,0.798,0,0.1395,0.1085,0,0.819,0,0.1422,0.1106,0,0.84,0,0.1449,0.1127,0,0.861,0,0.1476,0.1148,0,0.882,0,0.1503,0.1169,0,0.903,0,0.153,0.119,0,0.924,0,0.1548,0.1204,0,0.9324,0,0.1566,0.1218,0,0.9408,0,0.1584,0.1232,0,0.9492,0,0.1602,0.1246,0,0.9576,0,0.162,0.126,0,0.966,0
Magic Dismounter,0.112,0.088,0.42,0,0,0.1162,0.0913,0.4494,0,0,0.1204,0.0946,0.4788,0,0,0.1246,0.0979,0.5082,0,0,0.1288,0.1012,0.5376,0,0,0.133,0.1045,0.567,0,0,0.1372,0.1078,0.5964,0,0,0.1414,0.1111,0.6258,0,0,0.1456,0.1144,0.6552,0,0,0.1498,0.1177,0.6846,0,0,0.154,0.121,0.714,0,0,0.1554,0.1221,0.735,0,0,0.1568,0.1232,0.756,0,0,0.1582,0.1243,0.777,0,0,0.1596,0.1254,0.798,0,0,0.161,0.1265,0.819,0,0,0.1624,0.1276,0.84,0,0,0.1638,0.1287,0.861,0,0,0.1652,0.1298,0.882,0,0,0.1666,0.1309,0.903,0,0,0.168,0.132,0.924,0,0,0.1708,0.1342,0.9366,0,0,0.1736,0.1364,0.9492,0,0,0.1764,0.1386,0.9618,0,0,0.1792,0.1408,0.9744,0,0,0.182,0.143,0.987,0,0
Cold Dismounter,0.42,0.33,0.33,0,0,0.441,0.3465,0.3465,0,0,0.462,0.363,0.363,0,0,0.483,0.3795,0.3795,0,0,0.504,0.396,0.396,0,0,0.525,0.4125,0.4125,0,0,0.546,0.429,0.429,0,0,0.567,0.4455,0.4455,0,0,0.588,0.462,0.462,0,0,0.609,0.4785,0.4785,0,0,0.63,0.495,0.495,0,0,0.6426,0.5049,0.5082,0,0,0.6552,0.5148,0.5214,0,0,0.6678,0.5247,0.5346,0,0,0.6804,0.5346,0.5478,0,0,0.693,0.5445,0.561,0,0,0.7056,0.5544,0.5742,0,0,0.7182,0.5643,0.5874,0,0,0.7308,0.5742,0.6006,0,0,0.7434,0.5841,0.6138,0,0,0.756,0.594,0.627,0,0,0.7644,0.6006,0.6336,0,0,0.7728,0.6072,0.6402,0,0,0.7812,0.6138,0.6468,0,0,0.7896,0.6204,0.6534,0,0,0.798,0.627,0.66,0,0
Poison Dismounter,0.44,0.35,0,0,0.3,0.4576,0.364,0,0,0.309,0.4752,0.378,0,0,0.318,0.4928,0.392,0,0,0.327,0.5104,0.406,0,0,0.336,0.528,0.42,0,0,0.345,0.5456,0.434,0,0,0.354,0.5632,0.448,0,0,0.363,0.5808,0.462,0,0,0.372,0.5984,0.476,0,0,0.381,0.616,0.49,0,0,0.39,0.6292,0.5005,0,0,0.393,0.6424,0.511,0,0,0.396,0.6556,0.5215,0,0,0.399,0.6688,0.532,0,0,0.402,0.682,0.5425,0,0,0.405,0.6952,0.553,0,0,0.408,0.7084,0.5635,0,0,0.411,0.7216,0.574,0,0,0.414,0.7348,0.5845,0,0,0.417,0.748,0.595,0,0,0.42,0.7656,0.609,0,0,0.423,0.7832,0.623,0,0,0.426,0.8008,0.637,0,0,0.429,0.8184,0.651,0,0,0.432,0.836,0.665,0,0,0.435
Blood Dismounter,0.44,0.35,0,0,0.3,0.4576,0.364,0,0,0.309,0.4752,0.378,0,0,0.318,0.4928,0.392,0,0,0.327,0.5104,0.406,0,0,0.336,0.528,0.42,0,0,0.345,0.5456,0.434,0,0,0.354,0.5632,0.448,0,0,0.363,0.5808,0.462,0,0,0.372,0.5984,0.476,0,0,0.381,0.616,0.49,0,0,0.39,0.6292,0.5005,0,0,0.393,0.6424,0.511,0,0,0.396,0.6556,0.5215,0,0,0.399,0.6688,0.532,0,0,0.402,0.682,0.5425,0,0,0.405,0.6952,0.553,0,0,0.408,0.7084,0.5635,0,0,0.411,0.7216,0.574,0,0,0.414,0.7348,0.5845,0,0,0.417,0.748,0.595,0,0,0.42,0.7656,0.609,0,0,0.423,0.7832,0.623,0,0,0.426,0.8008,0.637,0,0,0.429,0.8184,0.651,0,0,0.432,0.836,0.665,0,0,0.435
Occult Dismounter,0.144,0.112,0,0,0.71,0.1512,0.1176,0,0,0.7384,0.1584,0.1232,0,0,0.7668,0.1656,0.1288,0,0,0.7952,0.1728,0.1344,0,0,0.8236,0.18,0.14,0,0,0.852,0.1872,0.1456,0,0,0.8804,0.1944,0.1512,0,0,0.9088,0.2016,0.1568,0,0,0.9372,0.2088,0.1624,0,0,0.9656,0.216,0.168,0,0,0.994,0.2196,0.1708,0,0,1.0153,0.2232,0.1736,0,0,1.0366,0.2268,0.1764,0,0,1.0579,0.2304,0.1792,0,0,1.0792,0.234,0.182,0,0,1.1005,0.2376,0.1848,0,0,1.1218,0.2412,0.1876,0,0,1.1431,0.2448,0.1904,0,0,1.1644,0.2484,0.1932,0,0,1.1857,0.252,0.196,0,0,1.207,0.2556,0.1988,0,0,1.2212,0.2592,0.2016,0,0,1.2354,0.2628,0.2044,0,0,1.2496,0.2664,0.2072,0,0,1.2638,0.27,0.21,0,0,1.278
Bloodhound's Fang,0.41,0.6,0,0,0,0.4428,0.648,0,0,0,0.4756,0.696,0,0,0,0.5084,0.744,0,0,0,0.5412,0.792,0,0,0,0.574,0.84,0,0,0,0.6068,0.888,0,0,0,0.6396,0.936,0,0,0,0.6724,0.984,0,0,0,0.7052,1.032,0,0,0,0.738,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magma Wyrm's Scalesword,0.6,0.25,0,0.55,0,0.648,0.27,0,0.594,0,0.696,0.29,0,0.638,0,0.744,0.31,0,0.682,0,0.792,0.33,0,0.726,0,0.84,0.35,0,0.77,0,0.888,0.37,0,0.814,0,0.936,0.39,0,0.858,0,0.984,0.41,0,0.902,0,1.032,0.43,0,0.946,0,1.08,0.45,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamor Curved Sword,0.4,0.5,0,0,0,0.432,0.54,0,0,0,0.464,0.58,0,0,0,0.496,0.62,0,0,0,0.528,0.66,0,0,0,0.56,0.7,0,0,0,0.592,0.74,0,0,0,0.624,0.78,0,0,0,0.656,0.82,0,0,0,0.688,0.86,0,0,0,0.72,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omen Cleaver,0.44,0.43,0,0,0,0.4488,0.4386,0,0,0,0.4576,0.4472,0,0,0,0.4664,0.4558,0,0,0,0.4752,0.4644,0,0,0,0.484,0.473,0,0,0,0.4928,0.4816,0,0,0,0.5016,0.4902,0,0,0,0.5104,0.4988,0,0,0,0.5192,0.5074,0,0,0,0.528,0.516,0,0,0,0.5368,0.5246,0,0,0,0.5456,0.5332,0,0,0,0.5544,0.5418,0,0,0,0.5632,0.5504,0,0,0,0.572,0.559,0,0,0,0.5808,0.5676,0,0,0,0.5896,0.5762,0,0,0,0.5984,0.5848,0,0,0,0.6072,0.5934,0,0,0,0.616,0.602,0,0,0,0.6248,0.6106,0,0,0,0.6336,0.6192,0,0,0,0.6424,0.6278,0,0,0,0.6512,0.6364,0,0,0,0.66,0.645,0,0,0
Heavy Omen Cleaver,0.864,0,0,0,0,0.888,0,0,0,0,0.912,0,0,0,0,0.936,0,0,0,0,0.96,0,0,0,0,0.984,0,0,0,0,1.008,0,0,0,0,1.032,0,0,0,0,1.056,0,0,0,0,1.08,0,0,0,0,1.104,0,0,0,0,1.1232,0,0,0,0,1.1424,0,0,0,0,1.1616,0,0,0,0,1.1808,0,0,0,0,1.2,0,0,0,0,1.2192,0,0,0,0,1.2384,0,0,0,0,1.2576,0,0,0,0,1.2768,0,0,0,0,1.296,0,0,0,0,1.3056,0,0,0,0,1.3152,0,0,0,0,1.3248,0,0,0,0,1.3344,0,0,0,0,1.344,0,0,0,0
Keen Omen Cleaver,0.085,0.774,0,0,0,0.0901,0.7955,0,0,0,0.0952,0.817,0,0,0,0.1003,0.8385,0,0,0,0.1054,0.86,0,0,0,0.1105,0.8815,0,0,0,0.1156,0.903,0,0,0,0.1207,0.9245,0,0,0,0.1258,0.946,0,0,0,0.1309,0.9675,0,0,0,0.136,0.989,0,0,0,0.1394,1.0062,0,0,0,0.1428,1.0234,0,0,0,0.1462,1.0406,0,0,0,0.1496,1.0578,0,0,0,0.153,1.075,0,0,0,0.1564,1.0922,0,0,0,0.1598,1.1094,0,0,0,0.1632,1.1266,0,0,0,0.1666,1.1438,0,0,0,0.17,1.161,0,0,0,0.1802,1.1696,0,0,0,0.1904,1.1782,0,0,0,0.2006,1.1868,0,0,0,0.2108,1.1954,0,0,0,0.221,1.204,0,0,0
Quality Omen Cleaver,0.56,0.56,0,0,0,0.588,0.588,0,0,0,0.616,0.616,0,0,0,0.644,0.644,0,0,0,0.672,0.672,0,0,0,0.7,0.7,0,0,0,0.728,0.728,0,0,0,0.756,0.756,0,0,0,0.784,0.784,0,0,0,0.812,0.812,0,0,0,0.84,0.84,0,0,0,0.8568,0.8568,0,0,0,0.8736,0.8736,0,0,0,0.8904,0.8904,0,0,0,0.9072,0.9072,0,0,0,0.924,0.924,0,0,0,0.9408,0.9408,0,0,0,0.9576,0.9576,0,0,0,0.9744,0.9744,0,0,0,0.9912,0.9912,0,0,0,1.008,1.008,0,0,0,1.0192,1.0192,0,0,0,1.0304,1.0304,0,0,0,1.0416,1.0416,0,0,0,1.0528,1.0528,0,0,0,1.064,1.064,0,0,0
Fire Omen Cleaver,0.494,0.085,0,0,0,0.5092,0.0901,0,0,0,0.5244,0.0952,0,0,0,0.5396,0.1003,0,0,0,0.5548,0.1054,0,0,0,0.57,0.1105,0,0,0,0.5852,0.1156,0,0,0,0.6004,0.1207,0,0,0,0.6156,0.1258,0,0,0,0.6308,0.1309,0,0,0,0.646,0.136,0,0,0,0.6574,0.1411,0,0,0,0.6688,0.1462,0,0,0,0.6802,0.1513,0,0,0,0.6916,0.1564,0,0,0,0.703,0.1615,0,0,0,0.7144,0.1666,0,0,0,0.7258,0.1717,0,0,0,0.7372,0.1768,0,0,0,0.7486,0.1819,0,0,0,0.76,0.187,0,0,0,0.7676,0.1904,0,0,0,0.7752,0.1938,0,0,0,0.7828,0.1972,0,0,0,0.7904,0.2006,0,0,0,0.798,0.204,0,0,0
